orthogroup	seq_count	median_length	mean_length	signal_peptide_count	signal_peptide_fraction	tm_protein_count	beta_barrel_count	sp_tm_count	secreted_non_tm_count	secreted_acidic_fraction_mean	secreted_cysteine_fraction_mean	top_pfam_domains	top_pfam_descriptions	top_blast_consensus	inferred_function	calcification_relevance	calcification_rationale
OG0017138	16	544	516.4	2	0.125	0	0	0	2	0.100	0.018	Sulfatase (n=14, bestE=1.8e-47); Polysacc_lyase (n=1, bestE=1.3e-15); Kelch_1 (n=1, bestE=2.1e-13); Kelch_KLHDC2_KLHL20_DRC7 (n=1, bestE=3.1e-12)	Sulfatase (n=14, bestE=1.8e-47); Polysaccharide lyase (n=1, bestE=1.3e-15); Kelch motif (n=1, bestE=2.1e-13); KLHDC2/KLHL20/DRC7 Kelch-repeats domain (n=1, bestE=3.1e-12)	Arylsulfatase B (n=13, bestE=3.6e-95); Arylsulfatase J (n=1, bestE=4.2e-59); Arylsulfatase I (n=1, bestE=1.7e-06)	arylsulfatase / extracellular sulfatase	moderate	2/16 sequences have a signal peptide; PFAM consensus: Sulfatase; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0017238	16	384	552.4	0	0.000	0	0	0	0					tRNA ligase 1 (n=11, bestE=6.2e-25)	tRNA ligase 1	low	BLAST consensus: tRNA ligase 1; current evidence does not suggest a strong calcification-specific function
OG0017305	16	299	285.9	1	0.062	0	0	0	1	0.019	0.093	Sulphotransf (n=3, bestE=1.4e-04)	Stf0 sulphotransferase (n=3, bestE=1.4e-04)		Stf0 sulphotransferase	low	1/16 sequences have a signal peptide; PFAM consensus: Stf0 sulphotransferase; secreted members are cysteine-rich; current evidence does not suggest a strong calcification-specific function
OG0017361	16	262	321.0	1	0.062	2	0	1	1	0.087	0.015	DJ-1_PfpI (n=16, bestE=4.0e-24); HTH_18 (n=1, bestE=1.2e-24); HTH_AraC (n=1, bestE=1.6e-08)	DJ-1/PfpI family (n=16, bestE=4.0e-24); Helix-turn-helix domain (n=1, bestE=1.2e-24); Bacterial regulatory helix-turn-helix proteins, AraC family (n=1, bestE=1.6e-08)	Isonitrile hydratase (n=14, bestE=1.6e-16); HTH-type transcriptional regulator CdhR (n=1, bestE=3.6e-84); HTH-type transcriptional regulator GbdR (n=1, bestE=2.5e-07)	DJ-1/PfpI family	low	1/16 sequences have a signal peptide; 2/16 sequences are predicted transmembrane; PFAM consensus: DJ-1/PfpI family; current evidence does not suggest a strong calcification-specific function
OG0017362	16	400	571.4	7	0.438	2	0	2	5	0.114	0.021	RCC_reductase (n=3, bestE=1.0e-06); Exo_endo_phos (n=1, bestE=2.1e-12)	Red chlorophyll catabolite reductase (RCC reductase) (n=3, bestE=1.0e-06); Endonuclease/Exonuclease/phosphatase family (n=1, bestE=2.1e-12)	DNA-(apurinic or apyrimidinic site) endonuclease (n=1, bestE=1.2e-27); Red chlorophyll catabolite reductase 1, chloroplastic (n=1, bestE=6.5e-05)	Red chlorophyll catabolite reductase (RCC reductase)	low	7/16 sequences have a signal peptide; 2/16 sequences are predicted transmembrane; PFAM consensus: Red chlorophyll catabolite reductase (RCC reductase); current evidence does not suggest a strong calcification-specific function
OG0017884	15	329	384.0	0	0.000	4	0	0	0			Acetyltransf_1 (n=7, bestE=1.2e-07); Acetyltransf_7 (n=7, bestE=2.2e-07); RNF34L-like_3rd (n=2, bestE=9.9e-05)	Acetyltransferase (GNAT) family (n=7, bestE=1.2e-07); Acetyltransferase (GNAT) domain (n=7, bestE=2.2e-07); E3 ubiquitin-protein ligase rififylin-like domain (n=2, bestE=9.9e-05)	Mycothiol acetyltransferase (n=1, bestE=2.4e-05)	Acetyltransferase (GNAT) family	low	4/15 sequences are predicted transmembrane; PFAM consensus: Acetyltransferase (GNAT) family; current evidence does not suggest a strong calcification-specific function
OG0017903	15	403	364.3	0	0.000	0	0	0	0			FAD_binding_6 (n=10, bestE=2.0e-09); Globin (n=5, bestE=3.8e-11); NAD_binding_1 (n=2, bestE=1.7e-09); Protoglobin (n=1, bestE=1.9e-06)	Oxidoreductase FAD-binding domain (n=10, bestE=2.0e-09); Globin (n=5, bestE=3.8e-11); Oxidoreductase NAD-binding domain (n=2, bestE=1.7e-09); Protoglobin (n=1, bestE=1.9e-06)	Flavohemoprotein (n=14, bestE=2.2e-106)	FAD-dependent oxidoreductase	low	PFAM consensus: Oxidoreductase FAD-binding domain; current evidence does not suggest a strong calcification-specific function
OG0017965	15	228	326.3	0	0.000	0	0	0	0			Kelch_1 (n=5, bestE=6.3e-10); Kelch_KLHDC2_KLHL20_DRC7 (n=5, bestE=8.9e-09); NANM (n=5, bestE=2.1e-08); Beta-prop_FBX42 (n=3, bestE=4.7e-04)	Kelch motif (n=5, bestE=6.3e-10); KLHDC2/KLHL20/DRC7 Kelch-repeats domain (n=5, bestE=8.9e-09); N-acetylneuraminate epimerase (n=5, bestE=2.1e-08); FBX42, beta-propeller domain (n=3, bestE=4.7e-04)	Kelch repeat-containing protein At3g27220 (n=3, bestE=1.6e-10); Kelch-like ECH-associated protein 1 (n=1, bestE=1.1e-10); Kelch-like protein 36 (n=1, bestE=1.0e-09)	Kelch motif	low	PFAM consensus: Kelch motif; current evidence does not suggest a strong calcification-specific function
OG0018519	14	153	158.3	0	0.000	13	0	0	0						uncharacterized protein family	low	13/14 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0018986	13	830	782.4	7	0.538	10	0	8	1	0.126	0.045	FG-GAP_3 (n=12, bestE=1.8e-14); FG-GAP (n=4, bestE=1.3e-04); 7tm_3 (n=2, bestE=1.0e-32)	FG-GAP-like repeat (n=12, bestE=1.8e-14); FG-GAP repeat (n=4, bestE=1.3e-04); 7 transmembrane sweet-taste receptor of 3 GCPR (n=2, bestE=1.0e-32)	Metabotropic glutamate receptor-like protein E (n=2, bestE=1.1e-12)	integrin alpha-like cell-surface receptor	moderate	7/13 sequences have a signal peptide; 10/13 sequences are predicted transmembrane; PFAM consensus: FG-GAP-like repeat; secreted members are cysteine-rich; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0019067	13	348	384.2	0	0.000	5	0	3	0			LRR_TMOD-LMOD (n=7, bestE=3.8e-07); LRR_6 (n=4, bestE=8.7e-05)	TMOD/LMOD Leucine-rich domain (n=7, bestE=3.8e-07); Leucine Rich repeat (n=4, bestE=8.7e-05)	Protein NLRC3 (n=5, bestE=4.5e-11); NLR family CARD domain-containing protein 3 (n=4, bestE=1.5e-16); Nucleotide-binding oligomerization domain-containing protein 1 (n=1, bestE=1.2e-10); Nucleotide-binding oligomerization domain-containing protein 2 (n=1, bestE=7.5e-10)	TMOD/LMOD Leucine-rich domain	low	5/13 sequences are predicted transmembrane; PFAM consensus: TMOD/LMOD Leucine-rich domain; current evidence does not suggest a strong calcification-specific function
OG0019078	13	461	366.0	0	0.000	0	0	0	0			GST_N (n=11, bestE=2.2e-13); GST_C (n=10, bestE=3.1e-14); GST_N_2 (n=10, bestE=8.7e-09); GST_N_3 (n=10, bestE=1.9e-07)	Glutathione S-transferase, N-terminal domain (n=11, bestE=2.2e-13); Glutathione S-transferase, C-terminal domain (n=10, bestE=3.1e-14); Glutathione S-transferase, N-terminal domain (n=10, bestE=8.7e-09); Glutathione S-transferase, N-terminal domain (n=10, bestE=1.9e-07)	Elongation factor 1-gamma 2 (n=6, bestE=4.5e-59); Elongation factor 1-gamma (n=3, bestE=2.5e-55); Probable elongation factor 1-gamma 1 (n=2, bestE=2.5e-39); Elongation factor 1-gamma 1 (n=1, bestE=3.6e-50)	Glutathione S-transferase, N-terminal domain	low	PFAM consensus: Glutathione S-transferase, N-terminal domain; current evidence does not suggest a strong calcification-specific function
OG0019174	13	687	667.9	5	0.385	0	0	0	5	0.115	0.019	Amidase (n=13, bestE=1.6e-31)	Amidase (n=13, bestE=1.6e-31)	Glutamyl-tRNA(Gln) amidotransferase subunit A (n=7, bestE=3.0e-19); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (n=5, bestE=2.9e-19); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (n=1, bestE=5.7e-17)	amidase or amidotransferase-like enzyme	low	5/13 sequences have a signal peptide; PFAM consensus: Amidase; current evidence does not suggest a strong calcification-specific function
OG0019180	13	155	160.0	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0019790	12	994	1103.4	0	0.000	0	0	0	0			HECT (n=9, bestE=2.5e-46); Ank_2 (n=4, bestE=1.6e-09); Ank_4 (n=1, bestE=4.5e-04)	HECT-domain (ubiquitin-transferase) (n=9, bestE=2.5e-46); Ankyrin repeats (3 copies) (n=4, bestE=1.6e-09); Ankyrin repeats (many copies) (n=1, bestE=4.5e-04)	E3 ubiquitin-protein ligase hecd-1 (n=7, bestE=4.2e-60); E3 ubiquitin-protein ligase UPL3 (n=2, bestE=2.4e-47); Putative ankyrin repeat protein L88 (n=1, bestE=1.4e-06); Putative ankyrin repeat protein FPV245 (n=1, bestE=5.4e-06)	HECT-domain (ubiquitin-transferase)	low	PFAM consensus: HECT-domain (ubiquitin-transferase); current evidence does not suggest a strong calcification-specific function
OG0019817	12	419	368.8	8	0.667	1	0	1	7	0.101	0.015	NAD_binding_8 (n=9, bestE=6.1e-06); FAD_binding_3 (n=8, bestE=8.1e-14)	NAD(P)-binding Rossmann-like domain (n=9, bestE=6.1e-06); FAD binding domain (n=8, bestE=8.1e-14)	Aurachin C monooxygenase/isomerase (n=5, bestE=4.0e-28); 3-amino-4-hydroxybenzoate 2-monooxygenase (n=2, bestE=6.0e-25); Zeaxanthin epoxidase, chloroplastic (n=1, bestE=2.9e-25); 3-amino-4-hydroxybenzoate 2-monooxygenase PtmB3 (n=1, bestE=3.0e-08)	FAD-dependent oxidoreductase	low	8/12 sequences have a signal peptide; 1/12 sequences are predicted transmembrane; PFAM consensus: NAD(P)-binding Rossmann-like domain; current evidence does not suggest a strong calcification-specific function
OG0019873	12	415	381.4	0	0.000	0	0	0	0			Aminotran_1_2 (n=10, bestE=8.2e-48)	Aminotransferase class I and II (n=10, bestE=8.2e-48)	1-aminocyclopropane-1-carboxylate synthase 11 (n=7, bestE=1.7e-71); 1-aminocyclopropane-1-carboxylate synthase 4 (n=2, bestE=3.2e-25); 1-aminocyclopropane-1-carboxylate synthase 8 (n=2, bestE=3.3e-15)	Aminotransferase class I and II	low	PFAM consensus: Aminotransferase class I and II; current evidence does not suggest a strong calcification-specific function
OG0019887	12	271	297.0	0	0.000	0	0	0	0			MMR_HSR1 (n=4, bestE=2.3e-09); Intron_maturas2 (n=4, bestE=5.2e-08); CysS_C (n=1, bestE=7.9e-05)	50S ribosome-binding GTPase (n=4, bestE=2.3e-09); Type II intron maturase (n=4, bestE=5.2e-08); Cysteinyl-tRNA ligase anticodon binding domain (n=1, bestE=7.9e-05)	Mitochondrial GTPase 1 (n=1, bestE=1.2e-06); Mitochondrial ribosome-associated GTPase 1 (n=1, bestE=1.3e-06)	50S ribosome-binding GTPase	unlikely	PFAM consensus: 50S ribosome-binding GTPase; evidence points to a housekeeping intracellular role with no obvious calcification link
OG0019917	12	494	510.8	1	0.083	3	0	2	1	0.110	0.020	cNMP_binding (n=2, bestE=4.3e-15)	Cyclic nucleotide-binding domain (n=2, bestE=4.3e-15)	cAMP-dependent protein kinase regulatory subunit (n=2, bestE=2.4e-18)	protein kinase	low	1/12 sequences have a signal peptide; 3/12 sequences are predicted transmembrane; PFAM consensus: Cyclic nucleotide-binding domain; current evidence does not suggest a strong calcification-specific function
OG0020622	11	748	724.6	1	0.091	0	0	0	1	0.097	0.014	AAA_30 (n=10, bestE=1.3e-39); AAA_19 (n=10, bestE=2.6e-38); UvrD_C_2 (n=10, bestE=3.0e-18); SH3_13 (n=10, bestE=1.2e-09)	AAA domain (n=10, bestE=1.3e-39); AAA domain (n=10, bestE=2.6e-38); UvrD-like helicase C-terminal domain (n=10, bestE=3.0e-18); ATP-dependent RecD-like DNA helicase SH3 domain (n=10, bestE=1.2e-09)	ATP-dependent RecD2 DNA helicase (n=11, bestE=3.1e-72)	AAA domain	low	1/11 sequences have a signal peptide; PFAM consensus: AAA domain; current evidence does not suggest a strong calcification-specific function
OG0020657	11	353	339.1	3	0.273	0	0	0	3	0.126	0.031				uncharacterized protein family	low	3/11 sequences have a signal peptide; current evidence does not suggest a strong calcification-specific function
OG0020696	11	242	251.7	1	0.091	3	0	0	1	0.142	0.044				uncharacterized protein family	moderate	1/11 sequences have a signal peptide; 3/11 sequences are predicted transmembrane; secreted members are acidic; secreted members are cysteine-rich; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0020700	11	188	387.3	0	0.000	0	0	0	0			PDZ_2 (n=3, bestE=3.4e-06); PDZ_6 (n=2, bestE=1.4e-04)	PDZ domain (n=3, bestE=3.4e-06); PDZ domain (n=2, bestE=1.4e-04)		PDZ domain	low	PFAM consensus: PDZ domain; current evidence does not suggest a strong calcification-specific function
OG0020703	11	336	324.6	4	0.364	0	0	0	4	0.109	0.036	Sulfotransfer_3 (n=1, bestE=1.1e-06)	Sulfotransferase family (n=1, bestE=1.1e-06)	Heparan-sulfate 6-O-sulfotransferase 1 (n=2, bestE=2.9e-05)	glycan sulfotransferase	moderate	4/11 sequences have a signal peptide; PFAM consensus: Sulfotransferase family; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0020706	11	297	265.3	0	0.000	5	0	1	0						uncharacterized protein family	low	5/11 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0020728	11	306	299.2	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0020729	11	292	282.1	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0021347	10	338	313.4	5	0.500	0	0	0	5	0.109	0.031	Trypsin (n=10, bestE=9.4e-45); Trypsin_2 (n=3, bestE=1.3e-04); DUF1986 (n=1, bestE=2.7e-05)	Trypsin (n=10, bestE=9.4e-45); Trypsin-like peptidase domain (n=3, bestE=1.3e-04); Domain of unknown function (DUF1986) (n=1, bestE=2.7e-05)	Trypsin-1 (n=3, bestE=9.5e-37); Snake venom serine protease HS112 (n=2, bestE=1.2e-36); Trypsin 3A1 (n=1, bestE=2.3e-38); Complement factor D (n=1, bestE=6.3e-26)	secreted serine protease	moderate	5/10 sequences have a signal peptide; PFAM consensus: Trypsin; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0021406	10	240	229.6	0	0.000	0	0	0	0			adh_short (n=10, bestE=3.4e-57); adh_short_C2 (n=10, bestE=8.1e-56); KR (n=9, bestE=6.0e-14); SDR (n=4, bestE=6.6e-10)	short chain dehydrogenase (n=10, bestE=3.4e-57); Enoyl-(Acyl carrier protein) reductase (n=10, bestE=8.1e-56); KR domain (n=9, bestE=6.0e-14); SDR-like rossmann domain (n=4, bestE=6.6e-10)	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (n=9, bestE=3.2e-53); Gluconate 5-dehydrogenase (n=1, bestE=1.4e-47)	short chain dehydrogenase	low	PFAM consensus: short chain dehydrogenase; current evidence does not suggest a strong calcification-specific function
OG0021517	10	260	261.6	0	0.000	0	0	0	0			F-box-like (n=8, bestE=5.9e-07); F-box (n=4, bestE=7.2e-09)	F-box-like (n=8, bestE=5.9e-07); F-box domain (n=4, bestE=7.2e-09)		F-box-like	low	PFAM consensus: F-box-like; current evidence does not suggest a strong calcification-specific function
OG0021520	10	533	586.8	0	0.000	0	1	0	0						uncharacterized protein family	low	1/10 sequences are predicted beta-barrel; current evidence does not suggest a strong calcification-specific function
OG0021523	10	317	324.2	0	0.000	0	0	0	0			PP2C (n=6, bestE=4.6e-39)	Protein phosphatase 2C (n=6, bestE=4.6e-39)	Probable protein phosphatase 2C 35 (n=3, bestE=6.9e-38); Probable protein phosphatase 2C 61 (n=2, bestE=1.8e-36); Probable protein phosphatase 2C 64 (n=1, bestE=2.1e-34)	Protein phosphatase 2C	low	PFAM consensus: Protein phosphatase 2C; current evidence does not suggest a strong calcification-specific function
