orthogroup	sequence_count	length_range	top_blast_description	blast_summary	top_pfam_description	pfam_summary	deeptmhmm_type_summary	signalp_fraction	predicted_function	function_basis	calcification_relevance	calcification_rationale	annotation_confidence
OG0011197	27	95-904	RAP domain-containing protein, chloroplastic	RAP domain-containing protein, chloroplastic (2); Kihadalactone A synthase LFS (2); Gibberellin 2-beta-dioxygenase 7 (1)	2OG-Fe(II) oxygenase superfamily	2OG-Fe(II) oxygenase superfamily (3)	GLOB:23, SP:2, SP+TM:1, TM:1	1/27	2OG-Fe(II) oxygenase	2OG-Fe(II) oxygenase PFAM hits and mixed oxidase BLAST matches	possible	Oxidative modification of metabolites or proteins could indirectly affect matrix maturation or redox control during calcification	low
OG0013037	24	108-1206	Protein Obscurin	Protein Obscurin (1); Titin (1)	Serine aminopeptidase, S33	Serine aminopeptidase, S33 (1)	GLOB:10, SP:8, SP+TM:1, TM:5	5/24	Large cell-surface or extracellular scaffold protein	Very large proteins with mixed signal peptide and transmembrane signatures but only weak obscurin titin or peptidase hits	possible	Large surface scaffolds may participate in adhesion or matrix organization but the orthology is unclear	low
OG0014250	22	110-854	Glutamyl-tRNA(Gln) amidotransferase subunit A	Glutamyl-tRNA(Gln) amidotransferase subunit A (47); Putative amidase AmiD (2); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (2)	Amidase	Amidase (17)	GLOB:4, SP:17, TM:1	15/22	Secreted amidase-like hydrolase	Amidase PFAM support with amidase-like BLAST matches and strong secretion enrichment	possible	Secreted hydrolases could remodel amide-containing wall or matrix components but the link is indirect	medium
OG0015153	20	203-1497	Protein piccolo	Protein piccolo (20); Titin (3); Subtelomeric hrmA-associated cluster protein AFUA_5G14930 (2)		-	SP:3, SP+TM:3, TM:14	1/20	Large membrane-associated scaffold or coiled-coil protein	Piccolo or titin-like BLAST hits with strong transmembrane enrichment and no conserved PFAM model	possible	Cytoskeletal or membrane scaffolds may influence vesicle targeting or secretion of biomineral components	low
OG0016211	18	91-292		-	SUR7/PalI family	SUR7/PalI family (1)	TM:18	2/18	SUR7 or PalI-family multispan membrane organizer	SUR7 or PalI PFAM support and universal multispan membrane topology	possible	Membrane microdomain organization and pH-responsive plasma-membrane functions could affect ion transport at calcification sites	medium
OG0017362	16	205-1515	Red chlorophyll catabolite reductase 1, chloroplastic	Red chlorophyll catabolite reductase 1, chloroplastic (2); DNA-(apurinic or apyrimidinic site) endonuclease (2); DNA repair nuclease/redox regulator APEX1 (1)	Red chlorophyll catabolite reductase (RCC reductase)	Red chlorophyll catabolite reductase (RCC reductase) (3); Endonuclease/Exonuclease/phosphatase family (1); Alpha/beta hydrolase family (1)	GLOB:9, SP:5, SP+TM:2	7/16	Secreted oxidoreductase or hydrolase-like protein	RCC-reductase PFAM matches with mixed BLAST calls and multiple signal peptides	possible	It could modify extracellular cofactors or matrix chemistry but the biochemical role remains unresolved	low
OG0017903	15	77-630	Flavohemoprotein	Flavohemoprotein (35); Flavohemoprotein B (5); Flavohemoprotein A (2)	Oxidoreductase FAD-binding domain	Oxidoreductase FAD-binding domain (10); Globin (5); Oxidoreductase NAD-binding domain (2)	GLOB:15	0/15	Flavohemoprotein redox enzyme	Flavohemoprotein BLAST hits with globin and FAD/NAD-binding PFAM domains	possible	Redox and nitric-oxide homeostasis can influence biomineralization physiology indirectly	high
OG0018519	14	51-197		-		-	SP:1, TM:13	0/14	Uncharacterized multipass membrane protein	Nearly universal transmembrane topology with no informative homology or domains	possible	Membrane proteins could participate in ion flux or acid-base control but the function is unknown	low
OG0019067	13	198-1010	NLR family CARD domain-containing protein 3	NLR family CARD domain-containing protein 3 (51); Protein NLRC3 (39); Nucleotide-binding oligomerization domain-containing protein 1 (15)	Leucine Rich repeat	Leucine Rich repeat (12); TMOD/LMOD Leucine-rich domain (7); Leucine Rich repeats (2 copies) (1)	GLOB:8, SP+TM:3, TM:2	0/13	LRR-containing signaling or scaffold protein	Leucine-rich repeat PFAM matches and NLRC-like BLAST hits	possible	Signaling scaffolds may regulate stress or developmental programs linked to calcification but not matrix chemistry directly	medium
OG0019174	13	552-718	Glutamyl-tRNA(Gln) amidotransferase subunit A	Glutamyl-tRNA(Gln) amidotransferase subunit A (29); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (9); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (1)	Amidase	Amidase (13)	GLOB:1, SP:12	5/13	Secreted amidase-like hydrolase	Amidase PFAM matches with strong signal-peptide enrichment	possible	Secreted hydrolase activity could remodel extracellular polymers but the connection to calcification is indirect	medium
OG0019790	12	408-1876	E3 ubiquitin-protein ligase TRIP12	E3 ubiquitin-protein ligase TRIP12 (9); E3 ubiquitin-protein ligase hecd-1 (7); E3 ubiquitin-protein ligase UPL3 (7)	HECT-domain (ubiquitin-transferase)	HECT-domain (ubiquitin-transferase) (9); Ankyrin repeat (8); Ankyrin repeats (many copies) (7)	GLOB:12	0/12	HECT E3 ubiquitin ligase	TRIP12 or UPL3-like BLAST hits and HECT plus ankyrin PFAM domains	possible	Proteostasis and trafficking regulation can influence calcification-associated secretion indirectly	high
OG0019817	12	145-518	Zeaxanthin epoxidase, chloroplastic	Zeaxanthin epoxidase, chloroplastic (12); Aurachin C monooxygenase/isomerase (7); 3-amino-4-hydroxybenzoate 2-monooxygenase (3)	FAD binding domain	FAD binding domain (9); NAD(P)-binding Rossmann-like domain (9)	GLOB:9, SP:2, SP+TM:1	8/12	FAD-dependent monooxygenase	Zeaxanthin epoxidase-like BLAST hits with FAD and Rossmann-like PFAM domains	possible	Oxidative lipid or pigment metabolism may influence membrane properties and redox balance during calcification	medium
OG0019917	12	146-1262	cAMP-dependent protein kinase regulatory subunit	cAMP-dependent protein kinase regulatory subunit (8)	Cyclic nucleotide-binding domain	Cyclic nucleotide-binding domain (2); Apolipoprotein A1/A4/E domain (1)	GLOB:2, SP:7, SP+TM:2, TM:1	1/12	cAMP or PKA regulatory subunit-like signaling protein	PKA regulatory BLAST hits and cyclic-nucleotide binding PFAM support	possible	cAMP signaling could modulate calcification physiology indirectly but the evidence is not direct	medium
OG0020657	11	227-565		-		-	GLOB:4, SP:7	3/11	Uncharacterized secreted protein family	Repeated signal peptides without informative homology or PFAM support	possible	Secreted proteins are plausible organic-matrix components but functional evidence is minimal	low
OG0020696	11	114-421		-		-	GLOB:7, SP:1, TM:3	1/11	Uncharacterized membrane or secreted protein	Mixed transmembrane and signal peptide predictions without informative homology	possible	Surface or membrane localization makes an indirect role plausible but the function is unknown	low
OG0020700	11	92-1166		-	PDZ domain	PDZ domain (7)	GLOB:11	0/11	PDZ-domain scaffold protein	Recurrent PDZ PFAM matches in otherwise uninformative proteins	possible	PDZ scaffolds can organize membrane protein complexes that affect ion transport or secretion	medium
OG0020706	11	63-324		-		-	GLOB:5, SP:1, SP+TM:1, TM:4	0/11	Uncharacterized membrane protein	Partial transmembrane and signal-peptide enrichment without informative homology	possible	Membrane proteins may regulate transport or organelle function tied to calcification but the evidence is weak	low
OG0021523	10	134-631	Probable protein phosphatase 2C 64	Probable protein phosphatase 2C 64 (5); Probable protein phosphatase 2C 35 (4); Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein (3)	Protein phosphatase 2C	Protein phosphatase 2C (6)	GLOB:10	0/10	PP2C-family phosphatase	Protein phosphatase 2C PFAM support and phosphatase BLAST matches	possible	Signaling phosphatases can influence calcification-associated pathways indirectly	high
OG0021531	10	155-442	Probable periplasmic serine endoprotease DegP-like	Probable periplasmic serine endoprotease DegP-like (6); Periplasmic serine endoprotease DegP (2); Putative serine protease HhoB (1)	PDZ domain	PDZ domain (23); Tricorn protease PDZ domain (2); GRASP55/65 PDZ-like domain (2)	GLOB:9, SP:1	0/10	PDZ-associated protease or chaperone	DegP-like BLAST hits with strong PDZ-domain PFAM support	possible	Protein quality control or extracellular proteolysis could affect matrix-protein maturation	medium
OG0022355	9	124-790		-	Uncharacterized protein conserved in bacteria (DUF2237)	Uncharacterized protein conserved in bacteria (DUF2237) (7)	GLOB:1, SP:2, SP+TM:6	6/9	Secreted or membrane-tethered DUF2237 protein	DUF2237 PFAM support plus strong signal peptide and signal-anchor enrichment	possible	Cell-surface or secreted proteins are plausible matrix organizers but this family is uncharacterized	low
OG0022381	9	230-666	NADPH--cytochrome P450 reductase	NADPH--cytochrome P450 reductase (15); NADPH--cytochrome P450 reductase 2 (8); NADPH--cytochrome P450 reductase 3 (6)	FAD binding domain	FAD binding domain (8); Oxidoreductase NAD-binding domain (8); Flavodoxin (7)	GLOB:5, SP+TM:1, TM:3	0/9	Cytochrome P450 reductase	Cytochrome P450 reductase BLAST hits and FAD NAD flavodoxin PFAM domains	possible	Lipid or redox metabolism may indirectly support biomineralization membranes	high
OG0022455	9	86-304		-		-	GLOB:7, SP:2	0/9	Uncharacterized small secreted protein	Small mostly globular proteins with a minority of signal peptides and no domain support	possible	Small secreted proteins are plausible matrix peptides but evidence remains limited	low
OG0022473	9	163-423		-		-	GLOB:5, SP:1, SP+TM:3	3/9	Uncharacterized secreted or membrane protein	Mixed signal peptide and transmembrane predictions without domain support	possible	Surface-localized proteins could contribute to matrix assembly or signaling	low
OG0022492	9	321-863	Myosin heavy chain kinase B	Myosin heavy chain kinase B (5); Myosin heavy chain kinase C (3); F-box/WD repeat-containing protein 7 (2)	PDZ domain	PDZ domain (9); TEP-1 second beta-propeller (7); WD domain, G-beta repeat (5)	GLOB:9	0/9	PDZ and WD-repeat scaffold protein	PDZ and beta-propeller PFAM support with kinase or scaffold-like BLAST hits	possible	Scaffolding proteins could organize signaling or trafficking complexes needed for secretion	medium
OG0023496	8	323-498	Cyclin-G-associated kinase	Cyclin-G-associated kinase (12); BMP-2-inducible protein kinase (3); AP2-associated protein kinase 1 (3)	Protein kinase domain	Protein kinase domain (8); Protein tyrosine and serine/threonine kinase (8); Lipopolysaccharide kinase (Kdo/WaaP) family (1)	GLOB:8	0/8	Serine or threonine protein kinase	Kinase BLAST hits and kinase PFAM support	possible	Signaling kinases can regulate secretion cytoskeleton and ion-homeostasis programs tied to calcification	high
OG0023566	8	215-639	Protein SEY1	Protein SEY1 (5); Protein SEY1 homolog (4); Protein ROOT HAIR DEFECTIVE 3 homolog 2 (3)	Root hair defective 3 GTP-binding protein (RHD3) GTPase domain	Root hair defective 3 GTP-binding protein (RHD3) GTPase domain (3)	GLOB:5, SP:2, TM:1	3/8	Sey1 or RHD3-like membrane fusion GTPase	Sey1 and RHD3-like BLAST hits with the expected GTPase PFAM domain	possible	ER network maintenance and secretory trafficking are plausible indirect control points for matrix export	medium
OG0023790	8	219-365	Red chlorophyll catabolite reductase (Fragment)	Red chlorophyll catabolite reductase (Fragment) (3); Red chlorophyll catabolite reductase 1, chloroplastic (2)	Red chlorophyll catabolite reductase (RCC reductase)	Red chlorophyll catabolite reductase (RCC reductase) (6)	GLOB:4, SP:4	1/8	RCC-reductase-like oxidoreductase	RCC-reductase PFAM support and a few signal peptides with weak oxidoreductase BLAST calls	possible	Redox chemistry could indirectly affect extracellular matrix maturation but the evidence is weak	low
OG0025015	7	114-236		-		-	TM:7	0/7	Uncharacterized multipass membrane protein	Universal multispan membrane topology without informative homology	possible	It could be a transporter or membrane organizer relevant to ion or pH control but the function is unknown	low
OG0025059	7	159-363		-		-	GLOB:2, SP:5	5/7	Small secreted protein family	Strong signal-peptide enrichment with no informative homology or PFAM support	possible	Secreted peptides are plausible organic-matrix components or extracellular regulators	low
OG0026865	6	422-645	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (7); Bifunctional arginine demethylase and lysyl-hydroxylase PSR (5); Arginine-specific demethylase JMJ22 (2)	JmjC domain, hydroxylase	JmjC domain, hydroxylase (5); Cupin-like domain (1)	GLOB:6	0/6	JMJD6-like hydroxylase or demethylase	JMJD6-like BLAST hits and JmjC-domain PFAM support	possible	Protein hydroxylation or gene-regulatory activity could indirectly influence matrix protein maturation or expression	high
OG0002887	59	58-2353	ATP-dependent DNA helicase PIF1	ATP-dependent DNA helicase PIF1 (14); ATP-dependent DNA helicase Pif1 (11); ATP-dependent DNA helicase PIF4 (4)	PIF1-like helicase	PIF1-like helicase (18); DNA helicase Pif1, 2B domain (17); AAA domain (8)	GLOB:59	1/59	PIF1-family DNA helicase	High-confidence PIF1 and PIF4 helicase hits plus helicase PFAM domains	low	Genome-maintenance housekeeping protein with no clear biomineralization link	high
OG0003717	51	87-1244		-		-	GLOB:47, TM:4	0/51	Uncharacterized protein family with occasional transmembrane members	No informative BLAST or PFAM hits and mostly globular topology with a few membrane variants	low	There is not enough evidence beyond generic membrane association to connect this family to calcification	low
OG0010177	28	97-455	Ankyrin repeat domain-containing protein 17	Ankyrin repeat domain-containing protein 17 (91); Putative ankyrin repeat protein RBE_0220 (48); Ankyrin repeat domain-containing protein 29 (47)	Ankyrin repeat	Ankyrin repeat (48); Ankyrin repeats (many copies) (48); Ankyrin repeats (3 copies) (24)	GLOB:28	0/28	Ankyrin-repeat scaffold protein	Ankyrin-repeat BLAST and PFAM matches without other specific functional features	low	Generic protein-protein interaction scaffold with no direct mineralization signal	medium
OG0010867	27	160-599	Uncharacterized protein in mobD 3'region	Uncharacterized protein in mobD 3'region (79); Uncharacterized protein slr1819 (70); Uncharacterized protein slr1152 (42)	Pentapeptide repeats (8 copies)	Pentapeptide repeats (8 copies) (27); Pentapeptide repeats (9 copies) (26); Pentapeptide repeat region (25)	GLOB:23, SP:4	1/27	Pentapeptide-repeat-rich protein	Pentapeptide-repeat PFAM and repetitive low-information BLAST hits	low	Repeat proteins may be structural but there is no specific evidence tying this family to calcification	low
OG0014155	22	73-503	Pyrimidine-specific ribonucleoside hydrolase RihA	Pyrimidine-specific ribonucleoside hydrolase RihA (17); Nucleoside hydrolase 3 (16); Nucleoside hydrolase 4 (8)	Inosine-uridine preferring nucleoside hydrolase	Inosine-uridine preferring nucleoside hydrolase (17)	GLOB:6, SP:14, SP+TM:2	11/22	Secreted nucleoside hydrolase	Nucleoside hydrolase BLAST and PFAM support together with many secreted members	low	Likely involved in extracellular nucleotide salvage or nutrient turnover rather than a specific calcification step	high
OG0017238	16	253-1066	tRNA ligase 1	tRNA ligase 1 (11)		-	GLOB:16	0/16	tRNA ligase 1	Consistent tRNA ligase BLAST matches and soluble enzyme architecture	low	Core RNA-processing enzyme with no specific calcification link	high
OG0017361	16	224-518	Isonitrile hydratase	Isonitrile hydratase (18); Isonitrile hydratase-like protein xanA (6); HTH-type transcriptional regulator GbdR (6)	DJ-1/PfpI family	DJ-1/PfpI family (16); Helix-turn-helix domain (1); Bacterial regulatory helix-turn-helix proteins, AraC family (1)	GLOB:8, SP:6, SP+TM:1, TM:1	1/16	DJ-1 or PfpI protease/chaperone-like protein	DJ-1 PfpI PFAM hits with mixed enzyme BLAST calls and mostly soluble topology	low	Most likely a generic proteostasis or stress-response factor with only an indirect calcification connection	medium
OG0017884	15	202-1142	Mycothiol acetyltransferase	Mycothiol acetyltransferase (2)	Acetyltransferase (GNAT) family	Acetyltransferase (GNAT) family (7); Acetyltransferase (GNAT) domain (7); E3 ubiquitin-protein ligase rififylin-like domain (2)	GLOB:11, TM:4	0/15	GNAT-family acetyltransferase	GNAT acetyltransferase PFAM support and acetyltransferase-like BLAST hits	low	General protein or metabolite acetylation has no specific calcification evidence here	medium
OG0017965	15	61-709	N-acetylneuraminate epimerase	N-acetylneuraminate epimerase (4); Kelch repeat-containing protein At3g27220 (3); Kelch-like ECH-associated protein 1 (3)	Kelch motif	Kelch motif (10); N-acetylneuraminate epimerase (5); KLHDC2/KLHL20/DRC7 Kelch-repeats domain (5)	GLOB:14, SP:1	0/15	Kelch-repeat scaffold protein	Kelch PFAM matches and kelch-repeat BLAST hits	low	Likely a cytoskeletal or ubiquitin-associated scaffold without direct mineralization evidence	medium
OG0019078	13	74-543	Elongation factor 1-gamma	Elongation factor 1-gamma (14); Elongation factor 1-gamma 2 (8); Elongation factor 1-gamma 1 (7)	Glutathione S-transferase, N-terminal domain	Glutathione S-transferase, N-terminal domain (38); Glutathione S-transferase, C-terminal domain (26); Nuclear-export cofactor Arc1p (1)	GLOB:13	0/13	Elongation factor 1-gamma or GST-like protein	EF1-gamma BLAST matches and GST-like PFAM domains	low	Housekeeping translation-associated factor with no specific calcification evidence	high
OG0019180	13	92-235		-		-	GLOB:12, SP:1	0/13	Uncharacterized soluble protein	No domain or homology signal and almost entirely globular topology	low	Insufficient evidence for a calcification role	low
OG0019873	12	193-515	1-aminocyclopropane-1-carboxylate synthase 11	1-aminocyclopropane-1-carboxylate synthase 11 (10); 1-aminocyclopropane-1-carboxylate synthase 3 (7); 1-aminocyclopropane-1-carboxylate synthase 4 (6)	Aminotransferase class I and II	Aminotransferase class I and II (10)	GLOB:12	0/12	Aminotransferase class I or II enzyme	Aminotransferase PFAM support and ACC-synthase-like BLAST hits	low	General amino-acid metabolism with no specific biomineralization signal	medium
OG0019887	12	153-598	Mitochondrial ribosome-associated GTPase 1	Mitochondrial ribosome-associated GTPase 1 (4); Mitochondrial GTPase 1 (2)	50S ribosome-binding GTPase	50S ribosome-binding GTPase (4); Type II intron maturase (4); Cysteinyl-tRNA ligase anticodon binding domain (1)	GLOB:11, SP:1	0/12	Ribosome-associated GTPase or organellar translation factor	MTG1-like BLAST hits and a ribosome-binding GTPase PFAM domain	low	Likely involved in organellar ribosome biogenesis rather than calcification	medium
OG0020622	11	239-989	ATP-dependent RecD2 DNA helicase	ATP-dependent RecD2 DNA helicase (26); RecBCD enzyme subunit RecD (9); Uncharacterized protein MJ1519 (2)	AAA domain	AAA domain (33); UvrD-like helicase C-terminal domain (10); ATP-dependent RecD-like DNA helicase SH3 domain (10)	GLOB:11	1/11	RecD-like DNA helicase	RecD BLAST matches and helicase PFAM domains	low	Housekeeping DNA repair or replication enzyme	high
OG0020728	11	198-370		-		-	GLOB:11	0/11	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0020729	11	156-382		-		-	GLOB:11	0/11	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0021406	10	125-263	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (17); Gluconate 5-dehydrogenase (6); 5-keto-D-gluconate 5-reductase (3)	short chain dehydrogenase	short chain dehydrogenase (10); Enoyl-(Acyl carrier protein) reductase (10); KR domain (9)	GLOB:10	0/10	Short-chain dehydrogenase or reductase	Short-chain dehydrogenase PFAM support and dehydrogenase BLAST matches	low	Generic redox enzyme with no specific calcification signal	high
OG0021517	10	225-326	F-box only protein 3	F-box only protein 3 (3); F-box only protein 36 (2)	F-box-like	F-box-like (8); F-box domain (4)	GLOB:10	0/10	F-box protein	F-box PFAM matches and F-box BLAST hits	low	Likely a ubiquitin-ligase adaptor with only indirect regulatory potential	high
OG0021520	10	274-1006		-		-	BETA:1, GLOB:9	0/10	Uncharacterized beta-structure-rich protein	One beta-structure DeepTMHMM call without informative homology or PFAM support	low	Too little functional evidence is available for a calcification hypothesis	low
OG0022474	9	122-272		-	F-box-like	F-box-like (8); F-box domain (6)	GLOB:9	0/9	F-box protein	F-box PFAM matches without other informative features	low	Ubiquitin-pathway adaptor with no direct calcification evidence	high
OG0022500	9	211-406		-		-	GLOB:9	0/9	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022520	9	195-271		-		-	GLOB:9	0/9	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022524	9	158-549	Uncharacterized protein in mobD 3'region	Uncharacterized protein in mobD 3'region (71); Uncharacterized protein slr1819 (33); Uncharacterized protein slr1851 (23)	Pentapeptide repeats (8 copies)	Pentapeptide repeats (8 copies) (9); Pentapeptide repeat region (9); Pentapeptide repeats (9 copies) (9)	GLOB:9	0/9	Pentapeptide-repeat-rich protein	Pentapeptide-repeat PFAM support with repetitive low-information BLAST hits	low	It could be structural but there is no specific calcification evidence	low
OG0022528	9	135-639		-		-	GLOB:9	0/9	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
