og	n_sequences	mean_length_aa	pct_signal_peptide	pct_with_TM	mean_TMRs	n_pfam_hits	n_blast_hits	top_pfam	top_blast	function_short	function_long	calcification_relevance	calcification_rationale
OG0010991	27	337	14.8	3.7	0.07	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0011061	27	607	33.3	100.0	9.11	2	10	Exostosin_GT47(2)	Putative PWWP domain-containing DNA repair factor 4 (x3); Protein piccolo (x3); Titin homolog (x1)	Exostosin_GT47 (x2) / Putative PWWP domain-containing DNA repair factor 4 (x3)	PFAM: Exostosin_GT47 (x2) | BLAST: Putative PWWP domain-containing DNA repair factor 4 (x3); Protein piccolo (x3); Titin homolog (x1)	medium	keyword:piccolo (Ca2+-sensor/active-zone protein) | topology: partially secreted (33% SP), membrane-bound (100% TM)
OG0011197	27	344	3.7	7.4	0.07	3	7	2OG-FeII_Oxy(3)	RAP domain-containing protein, chloroplastic (x2); Kihadalactone A synthase LFS (x2); Gibberellin 2-beta-dioxygenase 7 (x1)	2OG-FeII_Oxy (x3) / RAP domain-containing protein, chloroplastic (x2)	PFAM: 2OG-FeII_Oxy (x3) | BLAST: RAP domain-containing protein, chloroplastic (x2); Kihadalactone A synthase LFS (x2); Gibberellin 2-beta-dioxygenase 7 (x1)	low	no direct evidence
OG0013037	24	451	20.8	25.0	0.25	1	2	Hydrolase_4(1)	Protein Obscurin (x1); Titin (x1)	Hydrolase_4 (x1) / Protein Obscurin (x1)	PFAM: Hydrolase_4 (x1) | BLAST: Protein Obscurin (x1); Titin (x1)	low	no direct evidence | topology: partially secreted (21% SP), partial TM (25% TM)
OG0014155	22	364	50.0	9.1	0.09	17	53	IU_nuc_hydro(17)	Pyrimidine-specific ribonucleoside hydrolase RihA (x17); Nucleoside hydrolase 3 (x16); Nucleoside hydrolase 4 (x8)	IU_nuc_hydro (x17) / Pyrimidine-specific ribonucleoside hydrolase RihA (x17)	PFAM: IU_nuc_hydro (x17) | BLAST: Pyrimidine-specific ribonucleoside hydrolase RihA (x17); Nucleoside hydrolase 3 (x16); Nucleoside hydrolase 4 (x8)	medium	secreted protein (candidate extracellular matrix) | topology: predominantly secreted (50% SP)
OG0014250	22	584	68.2	4.5	0.05	17	51	Amidase(17)	Glutamyl-tRNA(Gln) amidotransferase subunit A (x47); Putative amidase AmiD (x2); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (x2)	Amidase (x17) / Glutamyl-tRNA(Gln) amidotransferase subunit A (x47)	PFAM: Amidase (x17) | BLAST: Glutamyl-tRNA(Gln) amidotransferase subunit A (x47); Putative amidase AmiD (x2); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (x2)	medium	secreted protein (candidate extracellular matrix) | topology: predominantly secreted (68% SP)
OG0015153	20	688	5.0	85.0	6.25	0	28		Protein piccolo (x20); Titin (x3); Subtelomeric hrmA-associated cluster protein AFUA_5G14930 (x2)	Protein piccolo (x20)	BLAST: Protein piccolo (x20); Titin (x3); Subtelomeric hrmA-associated cluster protein AFUA_5G14930 (x2)	medium	keyword:piccolo (Ca2+-sensor/active-zone protein) | topology: membrane-bound (85% TM)
OG0016203	18	441	5.6	83.3	6.39	4	70	Collagen(1); RCC1(1); WD40_RLD(1); RCC1_2(1)	Collagen alpha-2(IV) chain (x19); Collagen alpha-1(IV) chain (x18); Hexamerin 110 (x8)	Collagen (x1) / Collagen alpha-2(IV) chain (x19)	PFAM: Collagen (x1); RCC1 (x1); WD40_RLD (x1); RCC1_2 (x1) | BLAST: Collagen alpha-2(IV) chain (x19); Collagen alpha-1(IV) chain (x18); Hexamerin 110 (x8)	high	PFAM:Collagen (collagen triple helix); keyword:COL (ECM/scaffold) | topology: membrane-bound (83% TM)
OG0016211	18	234	11.1	100.0	3.78	1	0	SUR7(1)		SUR7 (x1)	PFAM: SUR7 (x1)	low	no direct evidence | topology: membrane-bound (100% TM)
OG0017138	16	516	12.5	0.0	0.00	25	51	Sulfatase(14); Polysacc_lyase(1); Kelch_1(1); Kelch_2(1); Kelch_FKB95(1)	Arylsulfatase B (x44); Arylsulfatase I (x6); Arylsulfatase J (x1)	Sulfatase (x14) / Arylsulfatase B (x44)	PFAM: Sulfatase (x14); Polysacc_lyase (x1); Kelch_1 (x1); Kelch_2 (x1); Kelch_FKB95 (x1) | BLAST: Arylsulfatase B (x44); Arylsulfatase I (x6); Arylsulfatase J (x1)	medium	keyword:arylsulfatase (GAG/sulfated polysaccharide processing)
OG0017238	16	552	0.0	0.0	0.00	0	11		tRNA ligase 1 (x11)	tRNA ligase 1 (x11)	BLAST: tRNA ligase 1 (x11)	low	no direct evidence
OG0017305	16	286	6.2	0.0	0.00	3	0	Sulphotransf(3)		Sulphotransf (x3)	PFAM: Sulphotransf (x3)	low	no direct evidence
OG0017361	16	321	6.2	12.5	0.12	18	43	DJ-1_PfpI(16); HTH_18(1); HTH_AraC(1)	Isonitrile hydratase (x18); Isonitrile hydratase-like protein xanA (x6); HTH-type transcriptional regulator GbdR (x6)	DJ-1_PfpI (x16) / Isonitrile hydratase (x18)	PFAM: DJ-1_PfpI (x16); HTH_18 (x1); HTH_AraC (x1) | BLAST: Isonitrile hydratase (x18); Isonitrile hydratase-like protein xanA (x6); HTH-type transcriptional regulator GbdR (x6)	low	no direct evidence
OG0017362	16	571	43.8	12.5	0.12	5	5	RCC_reductase(3); Exo_endo_phos(1); Abhydrolase_5(1)	Red chlorophyll catabolite reductase 1, chloroplastic (x2); DNA-(apurinic or apyrimidinic site) endonuclease (x2); DNA repair nuclease/redox regulator APEX1 (x1)	RCC_reductase (x3) / Red chlorophyll catabolite reductase 1, chloroplastic (x2)	PFAM: RCC_reductase (x3); Exo_endo_phos (x1); Abhydrolase_5 (x1) | BLAST: Red chlorophyll catabolite reductase 1, chloroplastic (x2); DNA-(apurinic or apyrimidinic site) endonuclease (x2); DNA repair nuclease/redox regulator APEX1 (x1)	low	no direct evidence | topology: partially secreted (44% SP)
OG0017884	15	384	0.0	26.7	1.27	16	2	Acetyltransf_1(7); Acetyltransf_7(7); RNF34L-like_3rd(2)	Mycothiol acetyltransferase (x2)	Acetyltransf_1 (x7) / Mycothiol acetyltransferase (x2)	PFAM: Acetyltransf_1 (x7); Acetyltransf_7 (x7); RNF34L-like_3rd (x2) | BLAST: Mycothiol acetyltransferase (x2)	low	no direct evidence | topology: partial TM (27% TM)
OG0017903	15	364	0.0	0.0	0.00	19	43	FAD_binding_6(10); Globin(5); NAD_binding_1(2); NPF(1); Protoglobin(1)	Flavohemoprotein (x35); Flavohemoprotein B (x5); Flavohemoprotein A (x2)	FAD_binding_6 (x10) / Flavohemoprotein (x35)	PFAM: FAD_binding_6 (x10); Globin (x5); NAD_binding_1 (x2); NPF (x1); Protoglobin (x1) | BLAST: Flavohemoprotein (x35); Flavohemoprotein B (x5); Flavohemoprotein A (x2)	low	no direct evidence
OG0017965	15	326	0.0	0.0	0.00	40	17	Kelch_1(5); Kelch_2(5); NANM(5); Kelch_KLHDC2_KLHL20_DRC7(5); Beta-prop_Calicin(5)	N-acetylneuraminate epimerase (x4); Kelch repeat-containing protein At3g27220 (x3); Kelch-like ECH-associated protein 1 (x3)	Kelch_1 (x5) / N-acetylneuraminate epimerase (x4)	PFAM: Kelch_1 (x5); Kelch_2 (x5); NANM (x5); Kelch_KLHDC2_KLHL20_DRC7 (x5); Beta-prop_Calicin (x5) | BLAST: N-acetylneuraminate epimerase (x4); Kelch repeat-containing protein At3g27220 (x3); Kelch-like ECH-associated protein 1 (x3)	low	no direct evidence
OG0018519	14	158	0.0	92.9	3.64	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence | topology: membrane-bound (93% TM)
OG0018986	13	782	53.8	76.9	1.92	33	7	FG-GAP_3(12); FG-GAP(12); TcdB_toxin_midN(5); 7tm_3(2); BBS2_Mid(1)	Metabotropic glutamate receptor-like protein E (x2); Protein DEFECTIVE IN EXINE FORMATION 1 (x1); Gamma-aminobutyric acid type B receptor subunit 2 (x1)	FG-GAP_3 (x12) / Metabotropic glutamate receptor-like protein E (x2)	PFAM: FG-GAP_3 (x12); FG-GAP (x12); TcdB_toxin_midN (x5); 7tm_3 (x2); BBS2_Mid (x1) | BLAST: Metabotropic glutamate receptor-like protein E (x2); Protein DEFECTIVE IN EXINE FORMATION 1 (x1); Gamma-aminobutyric acid type B receptor subunit 2 (x1)	low	no direct evidence | topology: predominantly secreted (54% SP), membrane-bound (77% TM)
OG0019067	13	384	0.0	38.5	0.77	20	118	LRR_6(12); LRR_TMOD-LMOD(7); LRR_4(1)	NLR family CARD domain-containing protein 3 (x51); Protein NLRC3 (x39); Nucleotide-binding oligomerization domain-containing protein 1 (x15)	LRR_6 (x12) / NLR family CARD domain-containing protein 3 (x51)	PFAM: LRR_6 (x12); LRR_TMOD-LMOD (x7); LRR_4 (x1) | BLAST: NLR family CARD domain-containing protein 3 (x51); Protein NLRC3 (x39); Nucleotide-binding oligomerization domain-containing protein 1 (x15)	low	no direct evidence | topology: partial TM (38% TM)
OG0019078	13	366	0.0	0.0	0.00	65	39	GST_N(11); GST_C(10); GST_N_2(10); GST_N_3(10); GST_C_2(9)	Elongation factor 1-gamma (x14); Elongation factor 1-gamma 2 (x8); Elongation factor 1-gamma 1 (x7)	GST_N (x11) / Elongation factor 1-gamma (x14)	PFAM: GST_N (x11); GST_C (x10); GST_N_2 (x10); GST_N_3 (x10); GST_C_2 (x9) | BLAST: Elongation factor 1-gamma (x14); Elongation factor 1-gamma 2 (x8); Elongation factor 1-gamma 1 (x7)	low	no direct evidence
OG0019174	13	668	38.5	0.0	0.00	13	39	Amidase(13)	Glutamyl-tRNA(Gln) amidotransferase subunit A (x29); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (x9); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (x1)	Amidase (x13) / Glutamyl-tRNA(Gln) amidotransferase subunit A (x29)	PFAM: Amidase (x13) | BLAST: Glutamyl-tRNA(Gln) amidotransferase subunit A (x29); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (x9); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (x1)	low	no direct evidence | topology: partially secreted (38% SP)
OG0019180	13	160	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0019790	12	1103	0.0	0.0	0.00	28	40	HECT(9); Ank_2(4); Ank(4); Ank_3(4); Ank_4(4)	E3 ubiquitin-protein ligase TRIP12 (x9); E3 ubiquitin-protein ligase hecd-1 (x7); E3 ubiquitin-protein ligase UPL3 (x7)	HECT (x9) / E3 ubiquitin-protein ligase TRIP12 (x9)	PFAM: HECT (x9); Ank_2 (x4); Ank (x4); Ank_3 (x4); Ank_4 (x4) | BLAST: E3 ubiquitin-protein ligase TRIP12 (x9); E3 ubiquitin-protein ligase hecd-1 (x7); E3 ubiquitin-protein ligase UPL3 (x7)	low	no direct evidence
OG0019817	12	369	66.7	8.3	0.08	18	30	FAD_binding_3(9); NAD_binding_8(9)	Zeaxanthin epoxidase, chloroplastic (x12); Aurachin C monooxygenase/isomerase (x7); 3-amino-4-hydroxybenzoate 2-monooxygenase (x3)	FAD_binding_3 (x9) / Zeaxanthin epoxidase, chloroplastic (x12)	PFAM: FAD_binding_3 (x9); NAD_binding_8 (x9) | BLAST: Zeaxanthin epoxidase, chloroplastic (x12); Aurachin C monooxygenase/isomerase (x7); 3-amino-4-hydroxybenzoate 2-monooxygenase (x3)	medium	secreted protein (candidate extracellular matrix) | topology: predominantly secreted (67% SP)
OG0019873	12	381	0.0	0.0	0.00	10	37	Aminotran_1_2(10)	1-aminocyclopropane-1-carboxylate synthase 11 (x10); 1-aminocyclopropane-1-carboxylate synthase 3 (x7); 1-aminocyclopropane-1-carboxylate synthase 4 (x6)	Aminotran_1_2 (x10) / 1-aminocyclopropane-1-carboxylate synthase 11 (x10)	PFAM: Aminotran_1_2 (x10) | BLAST: 1-aminocyclopropane-1-carboxylate synthase 11 (x10); 1-aminocyclopropane-1-carboxylate synthase 3 (x7); 1-aminocyclopropane-1-carboxylate synthase 4 (x6)	low	no direct evidence
OG0019887	12	297	0.0	0.0	0.00	9	6	MMR_HSR1(4); Intron_maturas2(4); CysS_C(1)	Mitochondrial ribosome-associated GTPase 1 (x4); Mitochondrial GTPase 1 (x2)	MMR_HSR1 (x4) / Mitochondrial ribosome-associated GTPase 1 (x4)	PFAM: MMR_HSR1 (x4); Intron_maturas2 (x4); CysS_C (x1) | BLAST: Mitochondrial ribosome-associated GTPase 1 (x4); Mitochondrial GTPase 1 (x2)	low	no direct evidence
OG0019917	12	511	8.3	25.0	0.33	3	8	cNMP_binding(2); Apolipoprotein(1)	cAMP-dependent protein kinase regulatory subunit (x8)	cNMP_binding (x2) / cAMP-dependent protein kinase regulatory subunit (x8)	PFAM: cNMP_binding (x2); Apolipoprotein (x1) | BLAST: cAMP-dependent protein kinase regulatory subunit (x8)	low	no direct evidence | topology: partial TM (25% TM)
OG0020622	11	725	9.1	0.0	0.00	97	37	AAA_30(10); AAA_19(10); UvrD_C_2(10); SH3_13(10); Viral_helicase1(10)	ATP-dependent RecD2 DNA helicase (x26); RecBCD enzyme subunit RecD (x9); Uncharacterized protein MJ1519 (x2)	AAA_30 (x10) / ATP-dependent RecD2 DNA helicase (x26)	PFAM: AAA_30 (x10); AAA_19 (x10); UvrD_C_2 (x10); SH3_13 (x10); Viral_helicase1 (x10) | BLAST: ATP-dependent RecD2 DNA helicase (x26); RecBCD enzyme subunit RecD (x9); Uncharacterized protein MJ1519 (x2)	low	no direct evidence
OG0020657	11	339	27.3	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence | topology: partially secreted (27% SP)
OG0020696	11	252	9.1	27.3	0.27	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence | topology: partial TM (27% TM)
OG0020700	11	387	0.0	0.0	0.00	7	0	PDZ_2(3); PDZ(2); PDZ_6(2)		PDZ_2 (x3)	PFAM: PDZ_2 (x3); PDZ (x2); PDZ_6 (x2)	low	no direct evidence
OG0020703	11	325	36.4	0.0	0.00	2	4	Sulfotransfer_3(1); Sulfotransfer_1(1)	Heparan-sulfate 6-O-sulfotransferase 1 (x2); Heparan-sulfate 6-O-sulfotransferase 2 (x2)	Sulfotransfer_3 (x1) / Heparan-sulfate 6-O-sulfotransferase 1 (x2)	PFAM: Sulfotransfer_3 (x1); Sulfotransfer_1 (x1) | BLAST: Heparan-sulfate 6-O-sulfotransferase 1 (x2); Heparan-sulfate 6-O-sulfotransferase 2 (x2)	medium	keyword:sulfotransferase (sulfation of ECM/GAGs); keyword:heparan (HS proteoglycan) | topology: partially secreted (36% SP)
OG0020706	11	265	0.0	45.5	2.64	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence | topology: partial TM (45% TM)
OG0020728	11	299	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0020729	11	282	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0021347	10	313	50.0	0.0	0.00	14	30	Trypsin(10); Trypsin_2(3); DUF1986(1)	Trypsin-1 (x7); Trypsin-4 (x4); Trypsin 3A1 (x3)	Trypsin (x10) / Trypsin-1 (x7)	PFAM: Trypsin (x10); Trypsin_2 (x3); DUF1986 (x1) | BLAST: Trypsin-1 (x7); Trypsin-4 (x4); Trypsin 3A1 (x3)	medium	secreted protein (candidate extracellular matrix) | topology: predominantly secreted (50% SP)
OG0021406	10	230	0.0	0.0	0.00	39	30	adh_short(10); adh_short_C2(10); KR(9); SDR(5); Epimerase(4)	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (x17); Gluconate 5-dehydrogenase (x6); 5-keto-D-gluconate 5-reductase (x3)	adh_short (x10) / 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (x17)	PFAM: adh_short (x10); adh_short_C2 (x10); KR (x9); SDR (x5); Epimerase (x4) | BLAST: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (x17); Gluconate 5-dehydrogenase (x6); 5-keto-D-gluconate 5-reductase (x3)	low	no direct evidence
OG0021517	10	262	0.0	0.0	0.00	12	5	F-box-like(8); F-box(4)	F-box only protein 3 (x3); F-box only protein 36 (x2)	F-box-like (x8) / F-box only protein 3 (x3)	PFAM: F-box-like (x8); F-box (x4) | BLAST: F-box only protein 3 (x3); F-box only protein 36 (x2)	low	no direct evidence
OG0021520	10	587	0.0	10.0	1.40	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0021523	10	324	0.0	0.0	0.00	6	18	PP2C(6)	Probable protein phosphatase 2C 64 (x5); Probable protein phosphatase 2C 35 (x4); Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein (x3)	PP2C (x6) / Probable protein phosphatase 2C 64 (x5)	PFAM: PP2C (x6) | BLAST: Probable protein phosphatase 2C 64 (x5); Probable protein phosphatase 2C 35 (x4); Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein (x3)	low	no direct evidence
OG0021531	10	272	0.0	0.0	0.00	28	11	PDZ_6(10); PDZ_2(7); PDZ(6); PDZ_Tricorn(2); GRASP55_65(2)	Probable periplasmic serine endoprotease DegP-like (x6); Periplasmic serine endoprotease DegP (x2); Putative serine protease HhoB (x1)	PDZ_6 (x10) / Probable periplasmic serine endoprotease DegP-like (x6)	PFAM: PDZ_6 (x10); PDZ_2 (x7); PDZ (x6); PDZ_Tricorn (x2); GRASP55_65 (x2) | BLAST: Probable periplasmic serine endoprotease DegP-like (x6); Periplasmic serine endoprotease DegP (x2); Putative serine protease HhoB (x1)	low	no direct evidence
OG0022355	9	598	66.7	66.7	0.67	7	0	DUF2237(7)		DUF2237 (x7)	PFAM: DUF2237 (x7)	low	no direct evidence | topology: predominantly secreted (67% SP), membrane-bound (67% TM)
OG0022381	9	513	0.0	44.4	0.44	23	30	FAD_binding_1(8); NAD_binding_1(8); Flavodoxin_1(7)	NADPH--cytochrome P450 reductase (x15); NADPH--cytochrome P450 reductase 2 (x8); NADPH--cytochrome P450 reductase 3 (x6)	FAD_binding_1 (x8) / NADPH--cytochrome P450 reductase (x15)	PFAM: FAD_binding_1 (x8); NAD_binding_1 (x8); Flavodoxin_1 (x7) | BLAST: NADPH--cytochrome P450 reductase (x15); NADPH--cytochrome P450 reductase 2 (x8); NADPH--cytochrome P450 reductase 3 (x6)	low	no direct evidence | topology: partial TM (44% TM)
OG0022455	9	177	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0022473	9	331	33.3	33.3	0.33	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence | topology: partially secreted (33% SP), partial TM (33% TM)
OG0022474	9	215	0.0	0.0	0.00	14	0	F-box-like(8); F-box(6)		F-box-like (x8)	PFAM: F-box-like (x8); F-box (x6)	low	no direct evidence
OG0022492	9	472	0.0	0.0	0.00	67	16	Beta-prop_TEP1_2nd(7); WD40(5); Beta-prop_WDR3_1st(5); WD40_Prp19(5); Beta-prop_THOC3(5)	Myosin heavy chain kinase B (x5); Myosin heavy chain kinase C (x3); F-box/WD repeat-containing protein 7 (x2)	Beta-prop_TEP1_2nd (x7) / Myosin heavy chain kinase B (x5)	PFAM: Beta-prop_TEP1_2nd (x7); WD40 (x5); Beta-prop_WDR3_1st (x5); WD40_Prp19 (x5); Beta-prop_THOC3 (x5) | BLAST: Myosin heavy chain kinase B (x5); Myosin heavy chain kinase C (x3); F-box/WD repeat-containing protein 7 (x2)	low	no direct evidence
OG0022500	9	285	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0022520	9	250	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0022524	9	345	0.0	0.0	0.00	31	147	Pentapeptide(9); Pentapeptide_4(9); Pentapeptide_3(9); Decapeptide(4)	Uncharacterized protein in mobD 3'region (x71); Uncharacterized protein slr1819 (x33); Uncharacterized protein slr1851 (x23)	Pentapeptide (x9) / Uncharacterized protein in mobD 3'region (x71)	PFAM: Pentapeptide (x9); Pentapeptide_4 (x9); Pentapeptide_3 (x9); Decapeptide (x4) | BLAST: Uncharacterized protein in mobD 3'region (x71); Uncharacterized protein slr1819 (x33); Uncharacterized protein slr1851 (x23)	low	no direct evidence
OG0022528	9	320	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
OG0023496	8	411	0.0	0.0	0.00	17	24	Pkinase(8); PK_Tyr_Ser-Thr(8); Kdo(1)	Cyclin-G-associated kinase (x12); BMP-2-inducible protein kinase (x3); AP2-associated protein kinase 1 (x3)	Pkinase (x8) / Cyclin-G-associated kinase (x12)	PFAM: Pkinase (x8); PK_Tyr_Ser-Thr (x8); Kdo (x1) | BLAST: Cyclin-G-associated kinase (x12); BMP-2-inducible protein kinase (x3); AP2-associated protein kinase 1 (x3)	low	no direct evidence
OG0023566	8	475	37.5	12.5	0.12	3	13	RHD3_GTPase(3)	Protein SEY1 (x5); Protein SEY1 homolog (x4); Protein ROOT HAIR DEFECTIVE 3 homolog 2 (x3)	RHD3_GTPase (x3) / Protein SEY1 (x5)	PFAM: RHD3_GTPase (x3) | BLAST: Protein SEY1 (x5); Protein SEY1 homolog (x4); Protein ROOT HAIR DEFECTIVE 3 homolog 2 (x3)	low	no direct evidence | topology: partially secreted (38% SP)
OG0023594	8	566	12.5	12.5	0.25	12	14	Glyco_transf_8(6); LRR_5(1); Ank_2(1); Ank_4(1); Ank(1)	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (x6); Glycosyltransferase 8 domain-containing protein 1 (x4); Probable galacturonosyltransferase-like 4 (x2)	Glyco_transf_8 (x6) / Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (x6)	PFAM: Glyco_transf_8 (x6); LRR_5 (x1); Ank_2 (x1); Ank_4 (x1); Ank (x1) | BLAST: Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (x6); Glycosyltransferase 8 domain-containing protein 1 (x4); Probable galacturonosyltransferase-like 4 (x2)	low	no direct evidence
OG0023657	8	331	0.0	0.0	0.00	0	0			no detectable homology or domain	no detectable homology or domain	low	no direct evidence
