OG	n_sequences	blast_n_with_hit	top_blast_descriptions	pfam_n_with_domain	top_pfam_domains	signalp_counts	deeptmhmm_counts
OG0013037	24	2	Protein Obscurin(1); Titin(1)	1	Hydrolase_4(1)[Serine aminopeptidase, S33]	Signal Peptide (Sec/SPI):5, Other:19	TM:5, SP:8, GLOB:10, SP+TM:1
OG0014155	22	15	Pyrimidine-specific ribonucleoside hydrolase RihA(5); Nucleoside hydrolase 4(5); Nucleoside hydrolase 3(3); Pyrimidine-specific ribonucleoside hydrolase RihB(1); Probable uridine nucleosidase 2(1)	17	IU_nuc_hydro(17)[Inosine-uridine preferring nucleoside hydrolase]	Signal Peptide (Sec/SPI):11, Other:11	SP:14, GLOB:6, SP+TM:2
OG0014250	22	18	Glutamyl-tRNA(Gln) amidotransferase subunit A(17); Glutamyl-tRNA(Gln) amidotransferase subunit A 1(1)	17	Amidase(17)[Amidase]	Other:7, Signal Peptide (Sec/SPI):15	GLOB:4, TM:1, SP:17
OG0015153	20	3	Protein piccolo(2); Subtelomeric hrmA-associated cluster protein AFUA_5G14930(1)	0		Other:19, Signal Peptide (Sec/SPI):1	TM:14, SP:3, SP+TM:3
OG0016203	18	6	Hexamerin 110(3); Collagen alpha-2(IV) chain(1); DNA-directed RNA polymerase II subunit RPB1(1); Ultraviolet-B receptor UVR8(1)	2	Collagen(1)[Collagen triple helix repeat (20 copies)]; RCC1(1)[Regulator of chromosome condensation (RCC1) repeat]; WD40_RLD(1)[RCC1-like domain]; RCC1_2(1)[Regulator of chromosome condensation (RCC1) repeat]	Other:17, Signal Peptide (Sec/SPI):1	GLOB:2, SP:1, TM:13, SP+TM:2
OG0016211	18	0		1	SUR7(1)[SUR7/PalI family]	Other:16, Signal Peptide (Sec/SPI):2	TM:18
OG0017138	16	16	Arylsulfatase B(14); Arylsulfatase I(1); Arylsulfatase J(1)	14	Sulfatase(14)[Sulfatase]; Polysacc_lyase(1)[Polysaccharide lyase]; Kelch_1(1)[Kelch motif]; Kelch_2(1)[Kelch motif]; Kelch_FKB95(1)[FKB95, Kelch-repeats domain]; Beta-prop_Calicin(1)[Calicin, beta-propeller domain]; Kelch_KLHDC2_KLHL20_DRC7(1)[KLHDC2/KLHL20/DRC7 Kelch-repeats domain]; Beta-prop_ATRN-LZTR1(1)[Attractin/LZTR1 beta-propeller]	Other:14, Signal Peptide (Sec/SPI):2	GLOB:13, SP:3
OG0017238	16	11	tRNA ligase 1(11)	0		Other:16	GLOB:16
OG0017305	16	0		3	Sulphotransf(3)[Stf0 sulphotransferase]	Other:15, Signal Peptide (Sec/SPI):1	GLOB:7, SP:9
OG0017361	16	16	Isonitrile hydratase(14); HTH-type transcriptional regulator CdhR(1); HTH-type transcriptional regulator GbdR(1)	16	DJ-1_PfpI(16)[DJ-1/PfpI family]; HTH_18(1)[Helix-turn-helix domain]; HTH_AraC(1)[Bacterial regulatory helix-turn-helix proteins, AraC family]	Other:15, Signal Peptide (Sec/SPI):1	SP+TM:1, GLOB:8, SP:6, TM:1
OG0017362	16	3	Red chlorophyll catabolite reductase 1, chloroplastic(2); DNA-(apurinic or apyrimidinic site) endonuclease(1)	5	RCC_reductase(3)[Red chlorophyll catabolite reductase (RCC reductase)]; Exo_endo_phos(1)[Endonuclease/Exonuclease/phosphatase family]; Abhydrolase_5(1)[Alpha/beta hydrolase family]	Other:9, Signal Peptide (Sec/SPI):7	GLOB:9, SP:5, SP+TM:2
OG0017884	15	2	Mycothiol acetyltransferase(2)	7	Acetyltransf_1(7)[Acetyltransferase (GNAT) family]; Acetyltransf_7(7)[Acetyltransferase (GNAT) domain]; RNF34L-like_3rd(2)[E3 ubiquitin-protein ligase rififylin-like domain]	Other:15	GLOB:11, TM:4
OG0017903	15	15	Flavohemoprotein(15)	12	FAD_binding_6(10)[Oxidoreductase FAD-binding domain]; Globin(5)[Globin]; NAD_binding_1(2)[Oxidoreductase NAD-binding domain]; NPF(1)[Rabosyn-5 repeating NPF sequence-motif]; Protoglobin(1)[Protoglobin]	Other:15	GLOB:15
OG0017965	15	5	Kelch repeat-containing protein At3g27220(3); Kelch-like protein 36(1); Kelch-like ECH-associated protein 1(1)	5	Kelch_1(5)[Kelch motif]; Kelch_2(5)[Kelch motif]; NANM(5)[N-acetylneuraminate epimerase]; Kelch_KLHDC2_KLHL20_DRC7(5)[KLHDC2/KLHL20/DRC7 Kelch-repeats domain]; Beta-prop_Calicin(5)[Calicin, beta-propeller domain]; Beta-prop_ATRN-LZTR1(5)[Attractin/LZTR1 beta-propeller]; Kelch_FKB95(5)[FKB95, Kelch-repeats domain]; Beta-prop_FBX42(4)[FBX42, beta-propeller domain]	Other:15	GLOB:14, SP:1
OG0018519	14	0		0		Other:14	TM:13, SP:1
OG0018986	13	3	Metabotropic glutamate receptor-like protein E(2); Protein DEFECTIVE IN EXINE FORMATION 1(1)	12	FG-GAP_3(12)[FG-GAP-like repeat]; FG-GAP(12)[FG-GAP repeat]; TcdB_toxin_midN(5)[Insecticide toxin TcdB middle/N-terminal region]; 7tm_3(2)[7 transmembrane sweet-taste receptor of 3 GCPR]; BBS2_Mid(1)[Ciliary BBSome complex subunit 2, middle region]; Itfg2(1)[Integrin-alpha FG-GAP repeat-containing protein 2]	Signal Peptide (Sec/SPI):7, Other:6	SP+TM:8, SP:2, GLOB:1, TM:2
OG0019067	13	12	Protein NLRC3(6); NLR family CARD domain-containing protein 3(4); Nucleotide-binding oligomerization domain-containing protein 1(1); Nucleotide-binding oligomerization domain-containing protein 2(1)	12	LRR_6(12)[Leucine Rich repeat]; LRR_TMOD-LMOD(7)[TMOD/LMOD Leucine-rich domain]; LRR_4(1)[Leucine Rich repeats (2 copies)]	Other:13	GLOB:8, TM:2, SP+TM:3
OG0019078	13	13	Elongation factor 1-gamma 2(6); Elongation factor 1-gamma(4); Probable elongation factor 1-gamma 1(2); Elongation factor 1-gamma 1(1)	12	GST_N(11)[Glutathione S-transferase, N-terminal domain]; GST_C(10)[Glutathione S-transferase, C-terminal domain]; GST_N_2(10)[Glutathione S-transferase, N-terminal domain]; GST_N_3(10)[Glutathione S-transferase, N-terminal domain]; GST_C_2(9)[Glutathione S-transferase, C-terminal domain]; GST_C_3(7)[Glutathione S-transferase, C-terminal domain]; GST_N_5(7)[Glutathione S-transferase, N-terminal domain]; Arc1p_N_like(1)[Nuclear-export cofactor Arc1p]	Other:13	GLOB:13
OG0019174	13	13	Glutamyl-tRNA(Gln) amidotransferase subunit A(7); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial(5); Glutamyl-tRNA(Gln) amidotransferase subunit A 1(1)	13	Amidase(13)[Amidase]	Signal Peptide (Sec/SPI):5, Other:8	SP:12, GLOB:1
OG0019180	13	0		0		Other:13	GLOB:12, SP:1
OG0019790	12	12	E3 ubiquitin-protein ligase hecd-1(7); E3 ubiquitin-protein ligase UPL3(2); Ankycorbin(1); Putative ankyrin repeat protein L88(1); Putative ankyrin repeat protein FPV245(1)	12	HECT(9)[HECT-domain (ubiquitin-transferase)]; Ank_2(4)[Ankyrin repeats (3 copies)]; Ank(4)[Ankyrin repeat]; Ank_3(4)[Ankyrin repeat]; Ank_4(4)[Ankyrin repeats (many copies)]; Ank_5(3)[Ankyrin repeats (many copies)]	Other:12	GLOB:12
OG0019817	12	10	Aurachin C monooxygenase/isomerase(5); 3-amino-4-hydroxybenzoate 2-monooxygenase(2); 3-amino-4-hydroxybenzoate 2-monooxygenase PtmB3(1); Zeaxanthin epoxidase, chloroplastic(1); Putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB1(1)	10	FAD_binding_3(9)[FAD binding domain]; NAD_binding_8(9)[NAD(P)-binding Rossmann-like domain]	Other:4, Signal Peptide (Sec/SPI):8	GLOB:9, SP:2, SP+TM:1
OG0019873	12	12	1-aminocyclopropane-1-carboxylate synthase 11(7); 1-aminocyclopropane-1-carboxylate synthase 4(2); 1-aminocyclopropane-1-carboxylate synthase 8(2); 1-aminocyclopropane-1-carboxylate synthase 3(1)	10	Aminotran_1_2(10)[Aminotransferase class I and II]	Other:12	GLOB:12
OG0019887	12	2	Mitochondrial ribosome-associated GTPase 1(1); Mitochondrial GTPase 1(1)	9	MMR_HSR1(4)[50S ribosome-binding GTPase]; Intron_maturas2(4)[Type II intron maturase]; CysS_C(1)[Cysteinyl-tRNA ligase anticodon binding domain]	Other:12	GLOB:11, SP:1
OG0019917	12	2	cAMP-dependent protein kinase regulatory subunit(2)	3	cNMP_binding(2)[Cyclic nucleotide-binding domain]; Apolipoprotein(1)[Apolipoprotein A1/A4/E domain]	Other:11, Signal Peptide (Sec/SPI):1	SP:7, SP+TM:2, TM:1, GLOB:2
OG0020622	11	11	ATP-dependent RecD2 DNA helicase(11)	11	AAA_30(10)[AAA domain]; AAA_19(10)[AAA domain]; UvrD_C_2(10)[UvrD-like helicase C-terminal domain]; SH3_13(10)[ATP-dependent RecD-like DNA helicase SH3 domain]; Viral_helicase1(10)[Viral superfamily 1 RNA helicase core domain]; HHH_RecD2(9)[ATP-dependent RecD2 DNA helicase HHH domain]; OB_YrrC(9)[ATP-dependent DNA helicase YrrC, OB-fold domain]; AAA_11(8)[AAA domain]	Other:10, Signal Peptide (Sec/SPI):1	GLOB:11
OG0020657	11	0		0		Signal Peptide (Sec/SPI):3, Other:8	SP:7, GLOB:4
OG0020696	11	0		0		Other:10, Signal Peptide (Sec/SPI):1	GLOB:7, TM:3, SP:1
OG0020700	11	0		3	PDZ_2(3)[PDZ domain]; PDZ(2)[PDZ domain]; PDZ_6(2)[PDZ domain]	Other:11	GLOB:11
OG0020703	11	2	Heparan-sulfate 6-O-sulfotransferase 1(2)	1	Sulfotransfer_3(1)[Sulfotransferase family]; Sulfotransfer_1(1)[Sulfotransferase domain]	Signal Peptide (Sec/SPI):4, Other:7	SP:6, GLOB:5
OG0020706	11	0		0		Other:11	TM:4, GLOB:5, SP:1, SP+TM:1
OG0020728	11	0		0		Other:11	GLOB:11
OG0020729	11	0		0		Other:11	GLOB:11
OG0021347	10	10	Trypsin-1(3); Snake venom serine protease HS112(2); Transmembrane protease serine 2(1); Trypsin 3A1(1); Chymotrypsin-like elastase family member 2A(1)	10	Trypsin(10)[Trypsin]; Trypsin_2(3)[Trypsin-like peptidase domain]; DUF1986(1)[Domain of unknown function (DUF1986)]	Other:5, Signal Peptide (Sec/SPI):5	SP:10
OG0021406	10	10	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase(9); Gluconate 5-dehydrogenase(1)	10	adh_short(10)[short chain dehydrogenase]; adh_short_C2(10)[Enoyl-(Acyl carrier protein) reductase]; KR(9)[KR domain]; SDR(5)[SDR-like rossmann domain]; Epimerase(4)[NAD dependent epimerase/dehydratase family]; THF_DHG_CYH_C(1)[Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain]	Other:10	GLOB:10
OG0021517	10	2	F-box only protein 36(1); F-box only protein 3(1)	9	F-box-like(8)[F-box-like]; F-box(4)[F-box domain]	Other:10	GLOB:10
OG0021520	10	0		0		Other:10	GLOB:9, BETA:1
OG0021523	10	6	Probable protein phosphatase 2C 35(3); Probable protein phosphatase 2C 61(2); Probable protein phosphatase 2C 64(1)	6	PP2C(6)[Protein phosphatase 2C]	Other:10	GLOB:10
OG0021531	10	7	Probable periplasmic serine endoprotease DegP-like(3); Putative serine protease HhoB(1); Tight junction protein ZO-3(1); Periplasmic serine endoprotease DegP(1); Pro-apoptotic serine protease NMA111(1)	10	PDZ_6(10)[PDZ domain]; PDZ_2(7)[PDZ domain]; PDZ(6)[PDZ domain]; PDZ_Tricorn(2)[Tricorn protease PDZ domain]; GRASP55_65(2)[GRASP55/65 PDZ-like domain]; Pept_S41_N_bact(1)[Bacteroidetes, Peptidase, S41 family, N-terminal domain]	Other:10	SP:1, GLOB:9
OG0022355	9	0		7	DUF2237(7)[Uncharacterized protein conserved in bacteria (DUF2237)]	Signal Peptide (Sec/SPI):6, Other:3	SP+TM:6, GLOB:1, SP:2
OG0022381	9	9	NADPH--cytochrome P450 reductase 3(4); NADPH--cytochrome P450 reductase(3); NADPH--cytochrome P450 reductase 2(2)	9	FAD_binding_1(8)[FAD binding domain]; NAD_binding_1(8)[Oxidoreductase NAD-binding domain]; Flavodoxin_1(7)[Flavodoxin]	Other:9	TM:3, GLOB:5, SP+TM:1
OG0022455	9	0		0		Other:9	GLOB:7, SP:2
OG0022473	9	0		0		Signal Peptide (Sec/SPI):3, Other:6	SP+TM:3, GLOB:5, SP:1
OG0022474	9	0		8	F-box-like(8)[F-box-like]; F-box(6)[F-box domain]	Other:9	GLOB:9
OG0022492	9	5	Myosin heavy chain kinase B(4); Zinc finger CCCH domain-containing protein 17(1)	9	Beta-prop_TEP1_2nd(7)[TEP-1 second beta-propeller]; WD40(5)[WD domain, G-beta repeat]; Beta-prop_WDR3_1st(5)[WDR3 first beta-propeller domain]; WD40_Prp19(5)[Prp19 WD40 domain]; Beta-prop_THOC3(5)[THOC3 beta-propeller domain]; Beta-prop_WDR5(5)[WDR5 beta-propeller domain]; Beta-prop_TEP1_C(5)[TEP-1 C-terminal beta-propeller]; WDR55(5)[WDR55]	Other:9	GLOB:9
OG0022500	9	0		0		Other:9	GLOB:9
OG0022520	9	0		0		Other:9	GLOB:9
OG0022524	9	9	Uncharacterized protein slr1819(4); Pentapeptide repeat protein MfpA(3); Uncharacterized protein in mobD 3'region(2)	9	Pentapeptide(9)[Pentapeptide repeats (8 copies)]; Pentapeptide_4(9)[Pentapeptide repeat region]; Pentapeptide_3(9)[Pentapeptide repeats (9 copies)]; Decapeptide(4)[Decapeptide repeat region]	Other:9	GLOB:9
OG0022528	9	0		0		Other:9	GLOB:9
OG0023496	8	8	Cyclin-G-associated kinase(4); BMP-2-inducible protein kinase(2); Probable serine/threonine-protein kinase HAL5-like(1); Probable serine/threonine-protein kinase DDB_G0276461(1)	8	Pkinase(8)[Protein kinase domain]; PK_Tyr_Ser-Thr(8)[Protein tyrosine and serine/threonine kinase]; Kdo(1)[Lipopolysaccharide kinase (Kdo/WaaP) family]	Other:8	GLOB:8
OG0023566	8	5	Protein SEY1 homolog(2); Protein SEY1(2); Protein ROOT HAIR DEFECTIVE 3 homolog 2(1)	3	RHD3_GTPase(3)[Root hair defective 3 GTP-binding protein (RHD3) GTPase domain]	Other:5, Signal Peptide (Sec/SPI):3	SP:2, GLOB:5, TM:1
OG0023594	8	6	Glycosyltransferase 8 domain-containing protein 1(2); Probable galacturonosyltransferase-like 2(1); Putative surface protein bspA-like(1); Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1(1); Probable galacturonosyltransferase-like 4(1)	7	Glyco_transf_8(6)[Glycosyl transferase family 8]; LRR_5(1)[BspA type Leucine rich repeat region (6 copies)]; Ank_2(1)[Ankyrin repeats (3 copies)]; Ank_4(1)[Ankyrin repeats (many copies)]; Ank(1)[Ankyrin repeat]; Ank_3(1)[Ankyrin repeat]; Ank_5(1)[Ankyrin repeats (many copies)]	Other:7, Signal Peptide (Sec/SPI):1	GLOB:7, SP+TM:1
OG0023657	8	0		0		Other:8	GLOB:8
OG0023790	8	4	Red chlorophyll catabolite reductase (Fragment)(3); Red chlorophyll catabolite reductase 1, chloroplastic(1)	6	RCC_reductase(6)[Red chlorophyll catabolite reductase (RCC reductase)]	Other:7, Signal Peptide (Sec/SPI):1	GLOB:4, SP:4
OG0024846	7	1	Probable hexosyltransferase MUCI70(1)	4	TOD1_MUCI70(4)[TOD1/MUCI70, glycosyltransferase-like domain]	Other:6, Signal Peptide (Sec/SPI):1	GLOB:5, SP:2
OG0024979	7	0		0		Other:7	GLOB:7
OG0025015	7	0		0		Other:7	TM:7
OG0025016	7	0		0		Other:7	GLOB:7
OG0025059	7	0		0		Other:2, Signal Peptide (Sec/SPI):5	GLOB:2, SP:5
OG0026865	6	6	Bifunctional arginine demethylase and lysyl-hydroxylase PSR(3); Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6(2); Arginine-specific demethylase JMJ22(1)	5	JmjC(5)[JmjC domain, hydroxylase]; Cupin_8(1)[Cupin-like domain]	Other:6	GLOB:6
