jgi|Callep1130_1|3291859|fgenesh1_kg.1013_#_1_#_OTBYP_transcript_72638	sp|Q90YC0|EF1G_CARAU	sp|Q90YC0|EF1G_CARAU Elongation factor 1-gamma OS=Carassius auratus OX=7957 GN=eef1g PE=2 SV=1	54.286	35	3.22e-05	48.9
jgi|Gepoce1|392803|evm.geph.scaffold_653.5	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	32.550	298	2.66e-38	148
jgi|Gepoce1|392803|evm.geph.scaffold_653.5	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	32.822	326	6.32e-38	147
jgi|Gepoce1|392803|evm.geph.scaffold_653.5	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	32.685	257	1.48e-37	146
jgi|Hymcor1016_1|2201734|fgenesh1_kg.364_#_131_#_TRINITY_DN10051_c0_g2_i4	sp|A2Q127|EF1G_HORSE	sp|A2Q127|EF1G_HORSE Elongation factor 1-gamma OS=Equus caballus OX=9796 GN=EEF1G PE=2 SV=1	41.887	265	2.47e-55	193
jgi|Hymcor1016_1|2201734|fgenesh1_kg.364_#_131_#_TRINITY_DN10051_c0_g2_i4	sp|Q68FR6|EF1G_RAT	sp|Q68FR6|EF1G_RAT Elongation factor 1-gamma OS=Rattus norvegicus OX=10116 GN=Eef1g PE=2 SV=3	41.887	265	2.83e-55	193
jgi|Hymcor1016_1|2201734|fgenesh1_kg.364_#_131_#_TRINITY_DN10051_c0_g2_i4	sp|Q4R7H5|EF1G_MACFA	sp|Q4R7H5|EF1G_MACFA Elongation factor 1-gamma OS=Macaca fascicularis OX=9541 GN=EEF1G PE=2 SV=1	41.887	265	3.08e-55	193
jgi|IsochDm2_1|1306703|fgenesh1_kg.107_#_686_#_ONZOT_transcript_10752	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	43.673	245	1.29e-56	196
jgi|IsochDm2_1|1306703|fgenesh1_kg.107_#_686_#_ONZOT_transcript_10752	sp|P29694|EF1G_RABIT	sp|P29694|EF1G_RABIT Elongation factor 1-gamma OS=Oryctolagus cuniculus OX=9986 GN=EEF1G PE=2 SV=3	41.304	276	2.88e-55	193
jgi|IsochDm2_1|1306703|fgenesh1_kg.107_#_686_#_ONZOT_transcript_10752	sp|Q68FR6|EF1G_RAT	sp|Q68FR6|EF1G_RAT Elongation factor 1-gamma OS=Rattus norvegicus OX=10116 GN=Eef1g PE=2 SV=3	40.942	276	5.06e-55	192
jgi|Isogal1|89188|evm.iso.scaffold_9.186	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	44.082	245	8.23e-58	199
jgi|Isogal1|89188|evm.iso.scaffold_9.186	sp|P29694|EF1G_RABIT	sp|P29694|EF1G_RABIT Elongation factor 1-gamma OS=Oryctolagus cuniculus OX=9986 GN=EEF1G PE=2 SV=3	41.304	276	4.06e-55	192
jgi|Isogal1|89188|evm.iso.scaffold_9.186	sp|A2Q127|EF1G_HORSE	sp|A2Q127|EF1G_HORSE Elongation factor 1-gamma OS=Equus caballus OX=9796 GN=EEF1G PE=2 SV=1	40.364	275	5.80e-55	192
jgi|Ochro3194_1|4489563|fgenesh1_kg.151_1209_ONZOP_transcript_10328	sp|Q68FR6|EF1G_RAT	sp|Q68FR6|EF1G_RAT Elongation factor 1-gamma OS=Rattus norvegicus OX=10116 GN=Eef1g PE=2 SV=3	38.258	264	5.05e-53	187
jgi|Ochro3194_1|4489563|fgenesh1_kg.151_1209_ONZOP_transcript_10328	sp|P26642|EF1GA_XENLA	sp|P26642|EF1GA_XENLA Elongation factor 1-gamma-A OS=Xenopus laevis OX=8355 GN=eef1g-a PE=1 SV=1	46.635	208	7.11e-53	186
jgi|Ochro3194_1|4489563|fgenesh1_kg.151_1209_ONZOP_transcript_10328	sp|P29694|EF1G_RABIT	sp|P29694|EF1G_RABIT Elongation factor 1-gamma OS=Oryctolagus cuniculus OX=9986 GN=EEF1G PE=2 SV=3	38.258	264	1.43e-52	186
jgi|Pleelo874_1|1032988|CE1032987_21410	sp|A2Q127|EF1G_HORSE	sp|A2Q127|EF1G_HORSE Elongation factor 1-gamma OS=Equus caballus OX=9796 GN=EEF1G PE=2 SV=1	44.348	115	2.00e-19	91.3
jgi|Pleelo874_1|1032988|CE1032987_21410	sp|Q29387|EF1G_PIG	sp|Q29387|EF1G_PIG Elongation factor 1-gamma (Fragment) OS=Sus scrofa OX=9823 GN=EEF1G PE=2 SV=2	44.348	115	2.02e-19	91.3
jgi|Pleelo874_1|1032988|CE1032987_21410	sp|P29694|EF1G_RABIT	sp|P29694|EF1G_RABIT Elongation factor 1-gamma OS=Oryctolagus cuniculus OX=9986 GN=EEF1G PE=2 SV=3	44.348	115	2.18e-19	91.3
jgi|Pleelo874_1|6978361|gm4et.160252_g	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	45.033	151	2.55e-39	140
jgi|Pleelo874_1|6978361|gm4et.160252_g	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	43.046	151	1.75e-38	137
jgi|Pleelo874_1|6978361|gm4et.160252_g	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	44.371	151	1.56e-37	135
jgi|Umbfol2878_1|5743830|fgenesh1_kg.113_#_66_#_TRINITY_DN920_c2_g1_i7	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	44.048	252	6.67e-58	199
jgi|Umbfol2878_1|5743830|fgenesh1_kg.113_#_66_#_TRINITY_DN920_c2_g1_i7	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	47.005	217	2.01e-57	198
jgi|Umbfol2878_1|5743830|fgenesh1_kg.113_#_66_#_TRINITY_DN920_c2_g1_i7	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	46.377	207	7.97e-57	196
jgi|Umbfol2878_1|5919468|fgenesh1_kg.281_#_342_#_TRINITY_DN920_c2_g1_i7	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	43.307	254	4.50e-59	201
jgi|Umbfol2878_1|5919468|fgenesh1_kg.281_#_342_#_TRINITY_DN920_c2_g1_i7	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	47.005	217	8.57e-58	197
jgi|Umbfol2878_1|5919468|fgenesh1_kg.281_#_342_#_TRINITY_DN920_c2_g1_i7	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	44.595	222	2.15e-57	197
