OG	n_seq	function_summary	top_pfam_domains	top_blast_hits	blast_best_evalue	signalp_sp_count	tmhmm_breakdown	localization_note	calcification_relevance	calcification_rationale
OG0010991	27	Uncharacterised (no hit); 4 SP / 1 TM	no PFAM hit	no blast hit	NA	4	GLOB=22, SP=4, TM=1	4/27 w/ signal peptide; 1/27 with TM	weak	Unknown but signal-peptide bearing — cannot rule out secreted matrix protein.
OG0011061	27	Exostosin-GT47 glycosyltransferase (PF03016); 9 SP+TM, 18 TM — type-II membrane glycosyltransferase	Exostosin_GT47 (PF03016.21, n=2, Exostosin GT47 domain)	Putative PWWP domain-containing DNA repair factor 4; Probable xyloglucan galactosyltransferase GT20; Xyloglucan-specific galacturonosyltransferase 1	6.0e-11	9	SP+TM=9, TM=18	9/27 w/ signal peptide; 27/27 with TM	moderate	GT47/exostosin transfers sugars to heparan-sulfate / xyloglucan chains. In animals EXT1/2 are essential for skeletal development (heparan-sulfate proteoglycan biosynthesis drives growth-plate calcification); in algae equivalents make extracellular polysaccharide matrix that templates CaCO3. High TM fraction is consistent with Golgi anchoring.
OG0011197	27	2OG-Fe(II) oxygenase / RAP-domain protein	2OG-FeII_Oxy (PF03171.27, n=3, 2OG-Fe(II) oxygenase superfamily)	RAP domain-containing protein, chloroplastic; Gibberellin 2-beta-dioxygenase 7; RAP domain-containing protein, chloroplastic	1.7e-10	1	GLOB=23, SP=2, SP+TM=1, TM=1	1/27 w/ signal peptide; 2/27 with TM	weak	2OG-dioxygenases include collagen prolyl/lysyl hydroxylases (mineralisation-associated in vertebrates), but BLAST points to chloroplast RAP protein. Indirect at best.
OG0013037	24	Serine aminopeptidase S33 (α/β-hydrolase); blast to titin/obscurin (likely coiled-coil misalignment); 8 SP / 5 TM	Hydrolase_4 (PF12146.16, n=1, Serine aminopeptidase, S33)	Titin; Protein Obscurin	2.7e-05	5	GLOB=10, SP=8, SP+TM=1, TM=5	5/24 w/ signal peptide; 6/24 with TM	weak	Likely membrane-anchored serine hydrolase. No direct calcification link; titin hits are generic coiled-coil cross-matches.
OG0014155	22	Inosine-uridine nucleoside hydrolase (PF01156); 14/22 with signal peptide	IU_nuc_hydro (PF01156.25, n=17, Inosine-uridine preferring nucleoside hydrolase)	Nucleoside hydrolase 4; Nucleoside hydrolase 3; Pyrimidine-specific ribonucleoside hydrolase RihA	4.1e-21	11	GLOB=6, SP=14, SP+TM=2	11/22 w/ signal peptide; 2/22 with TM	moderate	High SP fraction is striking for a nucleoside hydrolase — suggests a secreted/periplasmic purine-salvage enzyme possibly active in the coccolith vesicle. Not a core calcification enzyme.
OG0014250	22	Amidase / Glu-tRNA(Gln) amidotransferase subunit A (PF01425); 17/22 with SP	Amidase (PF01425.27, n=17, Amidase)	Glutamyl-tRNA(Gln) amidotransferase subunit A; Glutamyl-tRNA(Gln) amidotransferase subunit A; Glutamyl-tRNA(Gln) amidotransferase subunit A	8.8e-22	15	GLOB=4, SP=17, TM=1	15/22 w/ signal peptide; 1/22 with TM	weak	Secretion-signal prevalence hints at extracellular amidase, but no specific calcification role.
OG0015153	20	Subtelomeric hrmA-cluster protein / piccolo-like; mostly TM or SP+TM	no PFAM hit	Subtelomeric hrmA-associated cluster protein AFUA_5G14930; Subtelomeric hrmA-associated cluster protein AFUB_079040; Protein piccolo	1.3e-10	1	SP=3, SP+TM=3, TM=14	1/20 w/ signal peptide; 17/20 with TM	weak	Piccolo matches are generic low-complexity; the hrmA-cluster membership suggests a lineage-specific membrane protein — functionally unresolved.
OG0016203	18	RCC1-repeat protein with a Collagen triple-helix domain; 13/18 TM, 2 SP+TM	RCC1 (PF00415.25, n=1, Regulator of chromosome condensation (RCC1) repeat); WD40_RLD (PF25390.2, n=1, RCC1-like domain); Collagen (PF01391.24, n=1, Collagen triple helix repeat (20 copies)); RCC1_2 (PF13540.13, n=1, Regulator of chromosome condensation (RCC1) repeat)	Collagen alpha-2(IV) chain; Cuticle collagen bli-1; Collagen alpha-1(IV) chain	8.0e-19	1	GLOB=2, SP=1, SP+TM=2, TM=13	1/18 w/ signal peptide; 15/18 with TM	moderate	Collagen triple-helix modules are mineralisation-associated scaffolds (bone, cartilage, sponge spicules); fusion with RCC1 (Ran-GEF) is unusual. Presence of TM+SP strongly suggests an extracellular collagen-like scaffold.
OG0016211	18	SUR7/PalI 4-TM membrane family (PF06687); 18/18 TM	SUR7 (PF06687.18, n=1, SUR7/PalI family)	no blast hit	NA	2	TM=18	2/18 w/ signal peptide; 18/18 with TM	weak	Fungal SUR7 marks membrane compartments of plasma membrane (MCC/eisosomes). Not classically tied to calcification, but membrane micro-domain organisation could matter for vesicle-based biomineralisation.
OG0017138	16	Arylsulfatase B (PF00884); 3/16 SP, globular	Sulfatase (PF00884.29, n=14, Sulfatase); Kelch_1 (PF01344.32, n=1, Kelch motif); Kelch_2 (PF07646.22, n=1, Kelch motif); Polysacc_lyase (PF14099.14, n=1, Polysaccharide lyase); Kelch_FKB95 (PF25210.2, n=1, FKB95, Kelch-repeats domain); Beta-prop_Calicin (PF13964.13, n=1, Calicin, beta-propeller domain)	Arylsulfatase B; Arylsulfatase B; Arylsulfatase B	3.6e-95	2	GLOB=13, SP=3	2/16 w/ signal peptide	moderate	Arylsulfatases desulfate glycosaminoglycans and polysaccharide matrices. In biomineralising algae, sulfated polysaccharides coat coccoliths; ARSB activity could remodel the organic template. Sulfatases are highly induced during coccolith formation in Emiliania.
OG0017238	16	tRNA ligase 1	no PFAM hit	tRNA ligase 1	6.2e-25	0	GLOB=16	16/16 globular	unlikely	Housekeeping translation component.
OG0017305	16	Stf0 sulphotransferase (PF09037); 9/16 SP	Sulphotransf (PF09037.17, n=3, Stf0 sulphotransferase)	no blast hit	NA	1	GLOB=7, SP=9	1/16 w/ signal peptide	moderate	Carbohydrate/lipid sulphotransferase. Sulfated polysaccharides and glycolipids are key organic components of coccoliths and algal CaCO3 matrices. High SP fraction consistent with secretion to matrix.
OG0017361	16	DJ-1/PfpI family cysteine hydrolase / glyoxalase	DJ-1_PfpI (PF01965.31, n=16, DJ-1/PfpI family); HTH_18 (PF12833.14, n=1, Helix-turn-helix domain); HTH_AraC (PF00165.30, n=1, Bacterial regulatory helix-turn-helix proteins, AraC family)	HTH-type transcriptional regulator CdhR; HTH-type transcriptional regulator GbdR; HTH-type transcriptional regulator GbdR	3.6e-84	1	GLOB=8, SP=6, SP+TM=1, TM=1	1/16 w/ signal peptide; 2/16 with TM	unlikely	Redox/oxidative-stress enzyme; no calcification link.
OG0017362	16	Red chlorophyll catabolite reductase (PF06405) — blast to AP endonuclease	RCC_reductase (PF06405.17, n=3, Red chlorophyll catabolite reductase (RCC reductase)); Exo_endo_phos (PF03372.30, n=1, Endonuclease/Exonuclease/phosphatase family); Abhydrolase_5 (PF12695.14, n=1, Alpha/beta hydrolase family)	DNA-(apurinic or apyrimidinic site) endonuclease; DNA-(apurinic or apyrimidinic site) endonuclease; DNA repair nuclease/redox regulator APEX1	1.2e-27	7	GLOB=9, SP=5, SP+TM=2	7/16 w/ signal peptide; 2/16 with TM	unlikely	Plastid chlorophyll catabolism; no link to calcification.
OG0017884	15	GNAT acetyltransferase	Acetyltransf_1 (PF00583.32, n=7, Acetyltransferase (GNAT) family); Acetyltransf_7 (PF13508.14, n=7, Acetyltransferase (GNAT) domain); RNF34L-like_3rd (PF22968.3, n=2, E3 ubiquitin-protein ligase rififylin-like domain)	Mycothiol acetyltransferase	2.4e-05	0	GLOB=11, TM=4	4/15 with TM	unlikely	Generic acyl-transferase.
OG0017903	15	FAD-binding oxidoreductase / globin	FAD_binding_6 (PF00970.31, n=10, Oxidoreductase FAD-binding domain); Globin (PF00042.29, n=5, Globin); NAD_binding_1 (PF00175.27, n=2, Oxidoreductase NAD-binding domain); Protoglobin (PF11563.15, n=1, Protoglobin); NPF (PF16601.11, n=1, Rabosyn-5 repeating NPF sequence-motif)	Flavohemoprotein; Flavohemoprotein; Flavohemoprotein	2.2e-106	0	GLOB=15	15/15 globular	unlikely	O2/redox-handling protein. Not calcification-specific.
OG0017965	15	Kelch-repeat / β-propeller + NANM (N-acetyl-neuraminate epimerase) — blast to KEAP1/KLHL36 and plant Kelch	Kelch_1 (PF01344.32, n=5, Kelch motif); Kelch_KLHDC2_KLHL20_DRC7 (PF24681.2, n=5, KLHDC2/KLHL20/DRC7 Kelch-repeats domain); Kelch_2 (PF07646.22, n=5, Kelch motif); NANM (PF24996.1, n=5, N-acetylneuraminate epimerase); Beta-prop_ATRN-LZTR1 (PF24981.2, n=5, Attractin/LZTR1 beta-propeller); Beta-prop_Calicin (PF13964.13, n=5, Calicin, beta-propeller domain)	Kelch-like ECH-associated protein 1; Kelch repeat-containing protein At3g27220; Kelch-like protein 36	1.1e-10	0	GLOB=14, SP=1	14/15 globular	weak	BTB-Kelch / NANM fusion — substrate-recognition subunit of Cullin E3 ligase with a sialic-acid epimerase module. Sialic acid metabolism can affect mucin/matrix glycosylation but relevance to calcification is indirect.
OG0018519	14	Uncharacterised; 1 SP / 13 TM	no PFAM hit	no blast hit	NA	0	SP=1, TM=13	13/14 with TM	weak	Multi-pass membrane protein of unknown function. Possible transporter — cannot rule out ion/HCO3- transport.
OG0018986	13	FG-GAP / integrin-α-like β-propeller; blast to metabotropic glutamate / sweet-taste 7TM receptor; 8 SP+TM, 2 SP, 2 TM	FG-GAP_3 (PF13517.13, n=12, FG-GAP-like repeat); FG-GAP (PF01839.30, n=12, FG-GAP repeat); TcdB_toxin_midN (PF12256.15, n=5, Insecticide toxin TcdB middle/N-terminal region); 7tm_3 (PF00003.29, n=2, 7 transmembrane sweet-taste receptor of 3 GCPR); BBS2_Mid (PF14783.13, n=1, Ciliary BBSome complex subunit 2, middle region); Itfg2 (PF15907.12, n=1, Integrin-alpha FG-GAP repeat-containing protein 2)	Metabotropic glutamate receptor-like protein E; Metabotropic glutamate receptor-like protein O; Metabotropic glutamate receptor-like protein A	1.1e-12	7	GLOB=1, SP=2, SP+TM=8, TM=2	7/13 w/ signal peptide; 10/13 with TM	strong	FG-GAP repeats form a Ca2+-binding β-propeller (DxDxDGxxD motifs), the Ca2+-coordinating module of integrin α-subunits. Combined with a 7TM receptor body, this resembles a Ca2+-sensing receptor — directly relevant to Ca2+ uptake regulation during calcification.
OG0019067	13	Leucine-rich-repeat / TMOD-LMOD-LRR; 3 SP+TM, 2 TM	LRR_6 (PF13516.13, n=12, Leucine Rich repeat); LRR_TMOD-LMOD (PF27087.1, n=7, TMOD/LMOD Leucine-rich domain); LRR_4 (PF12799.14, n=1, Leucine Rich repeats (2 copies))	NLR family CARD domain-containing protein 3; Protein NLRC3; Protein NLRC5	1.5e-16	0	GLOB=8, SP+TM=3, TM=2	5/13 with TM	weak	LRR scaffold, possibly membrane-anchored; tropomodulin-like LRR is actin-binding. No direct calcification link.
OG0019078	13	Glutathione-S-transferase (EF-1γ)	GST_N (PF02798.27, n=11, Glutathione S-transferase, N-terminal domain); GST_C (PF00043.31, n=10, Glutathione S-transferase, C-terminal domain); GST_N_2 (PF13409.13, n=10, Glutathione S-transferase, N-terminal domain); GST_N_3 (PF13417.13, n=10, Glutathione S-transferase, N-terminal domain); GST_C_2 (PF13410.12, n=9, Glutathione S-transferase, C-terminal domain); GST_C_3 (PF14497.12, n=7, Glutathione S-transferase, C-terminal domain)	Elongation factor 1-gamma 2; Probable elongation factor 1-gamma 1; Elongation factor 1-gamma 1	4.5e-59	0	GLOB=13	13/13 globular	unlikely	Cytosolic detoxification enzyme.
OG0019174	13	Glu-tRNA(Gln) amidotransferase subunit A (PF01425 amidase); 12/13 SP	Amidase (PF01425.27, n=13, Amidase)	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial; Glutamyl-tRNA(Gln) amidotransferase subunit A; Glutamyl-tRNA(Gln) amidotransferase subunit A	2.9e-19	5	GLOB=1, SP=12	5/13 w/ signal peptide	weak	Nearly universal secretion signal is striking — suggests extracellular amidase activity, but no dedicated calcification role.
OG0019180	13	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=12, SP=1	12/13 globular	weak	Uncharacterised; cannot be assessed.
OG0019790	12	HECT E3 ubiquitin ligase with ankyrin repeats	HECT (PF00632.31, n=9, HECT-domain (ubiquitin-transferase)); Ank (PF00023.37, n=4, Ankyrin repeat); Ank_2 (PF12796.14, n=4, Ankyrin repeats (3 copies)); Ank_4 (PF13637.13, n=4, Ankyrin repeats (many copies)); Ank_3 (PF13606.13, n=4, Ankyrin repeat); Ank_5 (PF13857.13, n=3, Ankyrin repeats (many copies))	E3 ubiquitin-protein ligase hecd-1; E3 ubiquitin-protein ligase Ufd4; E3 ubiquitin-protein ligase TRIP12	4.2e-60	0	GLOB=12	12/12 globular	unlikely	Ubiquitin-mediated protein turnover.
OG0019817	12	FAD-binding monooxygenase / zeaxanthin epoxidase	FAD_binding_3 (PF01494.26, n=9, FAD binding domain); NAD_binding_8 (PF13450.13, n=9, NAD(P)-binding Rossmann-like domain)	Aurachin C monooxygenase/isomerase; Zeaxanthin epoxidase, chloroplastic; Zeaxanthin epoxidase, chloroplastic	4.0e-28	8	GLOB=9, SP=2, SP+TM=1	8/12 w/ signal peptide; 1/12 with TM	unlikely	Carotenoid / redox metabolism.
OG0019873	12	Class-I/II aminotransferase (1-aminocyclopropane-1-carboxylate synthase)	Aminotran_1_2 (PF00155.28, n=10, Aminotransferase class I and II)	1-aminocyclopropane-1-carboxylate synthase 11; 1-aminocyclopropane-1-carboxylate synthase 8; 1-aminocyclopropane-1-carboxylate synthase 3	1.7e-71	0	GLOB=12	12/12 globular	unlikely	Amino-acid/ethylene metabolism.
OG0019887	12	Mitochondrial ribosome-associated GTPase (MMR_HSR1) / intron maturase	MMR_HSR1 (PF01926.30, n=4, 50S ribosome-binding GTPase); Intron_maturas2 (PF01348.27, n=4, Type II intron maturase); CysS_C (PF23493.2, n=1, Cysteinyl-tRNA ligase anticodon binding domain)	Mitochondrial GTPase 1; Mitochondrial ribosome-associated GTPase 1; Mitochondrial ribosome-associated GTPase 1	1.2e-06	0	GLOB=11, SP=1	11/12 globular	unlikely	Mitoribosome biogenesis.
OG0019917	12	Cyclic-nucleotide-binding / Apolipoprotein A domain; 7 SP, 2 SP+TM	cNMP_binding (PF00027.36, n=2, Cyclic nucleotide-binding domain); Apolipoprotein (PF01442.24, n=1, Apolipoprotein A1/A4/E domain)	cAMP-dependent protein kinase regulatory subunit; cAMP-dependent protein kinase regulatory subunit; cAMP-dependent protein kinase regulatory subunit	2.4e-18	1	GLOB=2, SP=7, SP+TM=2, TM=1	1/12 w/ signal peptide; 3/12 with TM	weak	cNMP-binding regulatory subunit; high SP unusual — possibly a secreted ligand-binding module. No direct calcification evidence.
OG0020622	11	AAA+ RecD-like DNA helicase	AAA_30 (PF13604.13, n=10, AAA domain); AAA_19 (PF13245.13, n=10, AAA domain); UvrD_C_2 (PF13538.13, n=10, UvrD-like helicase C-terminal domain); Viral_helicase1 (PF01443.25, n=10, Viral superfamily 1 RNA helicase core domain); SH3_13 (PF18335.8, n=10, ATP-dependent RecD-like DNA helicase SH3 domain); HHH_RecD2 (PF14490.12, n=9, ATP-dependent RecD2 DNA helicase HHH domain)	ATP-dependent RecD2 DNA helicase; ATP-dependent RecD2 DNA helicase; RecBCD enzyme subunit RecD	3.1e-72	1	GLOB=11	1/11 w/ signal peptide	unlikely	DNA repair.
OG0020657	11	Uncharacterised; 7/11 SP	no PFAM hit	no blast hit	NA	3	GLOB=4, SP=7	3/11 w/ signal peptide	weak	Putative secreted protein, function unknown — could be a novel lineage-specific matrix protein.
OG0020696	11	Uncharacterised; 3 TM, 1 SP	no PFAM hit	no blast hit	NA	1	GLOB=7, SP=1, TM=3	1/11 w/ signal peptide; 3/11 with TM	weak	Unknown multi-pass membrane protein.
OG0020700	11	PDZ-domain scaffold	PDZ_2 (PF13180.13, n=3, PDZ domain); PDZ (PF00595.30, n=2, PDZ domain); PDZ_6 (PF17820.8, n=2, PDZ domain)	no blast hit	NA	0	GLOB=11	11/11 globular	unlikely	Scaffolding; no known calcification tie-in.
OG0020703	11	Heparan-sulfate 6-O-sulfotransferase (PF13469 / PF00685); 6/11 SP	Sulfotransfer_3 (PF13469.13, n=1, Sulfotransferase family); Sulfotransfer_1 (PF00685.34, n=1, Sulfotransferase domain)	Heparan-sulfate 6-O-sulfotransferase 1; Heparan-sulfate 6-O-sulfotransferase 2	2.9e-05	4	GLOB=5, SP=6	4/11 w/ signal peptide	strong	6-O-sulfation of heparan-sulfate and related glycans is essential for assembly of biomineralisation matrix (in animals HS6ST is required for skeletal patterning; in coccolithophores sulfated polysaccharides form the coccolith base plate).
OG0020706	11	Uncharacterised; 4 TM, 1 SP, 1 SP+TM	no PFAM hit	no blast hit	NA	0	GLOB=5, SP=1, SP+TM=1, TM=4	5/11 with TM	weak	Multi-pass membrane protein of unknown function; transport function cannot be excluded.
OG0020728	11	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=11	11/11 globular	weak	No data.
OG0020729	11	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=11	11/11 globular	weak	No data.
OG0021347	10	Trypsin-family serine protease (PF00089); 10/10 SP — fully secreted	Trypsin (PF00089.33, n=10, Trypsin); Trypsin_2 (PF13365.13, n=3, Trypsin-like peptidase domain); DUF1986 (PF09342.17, n=1, Domain of unknown function (DUF1986))	Trypsin 3A1; Trypsin-1; Snake venom serine protease HS112	2.3e-38	5	SP=10	5/10 w/ signal peptide	moderate	100 % signal-peptide — clearly secreted protease. Extracellular proteases shape the organic matrix around coccoliths/spicules; involvement in matrix remodelling during calcification is plausible.
OG0021406	10	Short-chain dehydrogenase/reductase	adh_short (PF00106.32, n=10, short chain dehydrogenase); adh_short_C2 (PF13561.13, n=10, Enoyl-(Acyl carrier protein) reductase); KR (PF08659.17, n=9, KR domain); SDR (PF23441.1, n=5, SDR-like rossmann domain); Epimerase (PF01370.28, n=4, NAD dependent epimerase/dehydratase family); THF_DHG_CYH_C (PF02882.26, n=1, Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain)	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; Gluconate 5-dehydrogenase	3.2e-53	0	GLOB=10	10/10 globular	unlikely	Generic SDR metabolic enzyme.
OG0021517	10	F-box protein (SCF ubiquitin-ligase adaptor)	F-box-like (PF12937.13, n=8, F-box-like); F-box (PF00646.39, n=4, F-box domain)	F-box only protein 3; F-box only protein 3; F-box only protein 36	4.9e-05	0	GLOB=10	10/10 globular	unlikely	Ubiquitin-dependent protein degradation.
OG0021520	10	Uncharacterised; 1 BETA + 9 GLOB	no PFAM hit	no blast hit	NA	0	BETA=1, GLOB=9	9/10 globular	weak	One predicted β-barrel outer-membrane-like sequence — lineage-specific.
OG0021523	10	Protein phosphatase 2C (PP2C)	PP2C (PF00481.27, n=6, Protein phosphatase 2C)	Probable protein phosphatase 2C 35; Probable protein phosphatase 2C 64; Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein	6.9e-38	0	GLOB=10	10/10 globular	weak	Ser/Thr phosphatase — Ca2+-independent; only tangential calcification link via signalling.
OG0021531	10	PDZ + GRASP55/65 + S41 peptidase; 1 SP	PDZ_6 (PF17820.8, n=10, PDZ domain); PDZ_2 (PF13180.13, n=7, PDZ domain); PDZ (PF00595.30, n=6, PDZ domain); GRASP55_65 (PF04495.21, n=2, GRASP55/65 PDZ-like domain); PDZ_Tricorn (PF14685.15, n=2, Tricorn protease PDZ domain); Pept_S41_N_bact (PF21558.4, n=1, Bacteroidetes, Peptidase, S41 family, N-terminal domain)	Tight junction protein ZO-3; Periplasmic serine endoprotease DegP; Periplasmic serine endoprotease DegP	9.2e-06	0	GLOB=9, SP=1	9/10 globular	weak	GRASP55/65 tethers Golgi membranes; possible role in Golgi-derived coccolith-vesicle trafficking.
OG0022355	9	DUF2237 bacterial-like protein; 6 SP+TM, 2 SP	DUF2237 (PF09996.15, n=7, Uncharacterized protein conserved in bacteria (DUF2237))	no blast hit	NA	6	GLOB=1, SP=2, SP+TM=6	6/9 w/ signal peptide; 6/9 with TM	weak	Unknown; secreted/membrane but uncharacterised.
OG0022381	9	FAD/NAD(P)H oxidoreductase / flavodoxin	FAD_binding_1 (PF00667.27, n=8, FAD binding domain); NAD_binding_1 (PF00175.27, n=8, Oxidoreductase NAD-binding domain); Flavodoxin_1 (PF00258.31, n=7, Flavodoxin)	NADPH--cytochrome P450 reductase; NADPH--cytochrome P450 reductase 3; NADPH--cytochrome P450 reductase 2	3.5e-132	0	GLOB=5, SP+TM=1, TM=3	4/9 with TM	unlikely	Redox enzyme.
OG0022455	9	Uncharacterised; 2 SP	no PFAM hit	no blast hit	NA	0	GLOB=7, SP=2	7/9 globular	weak	Unknown.
