OG	n_members	n_blast	n_pfam	n_signalp	pct_signalp	n_tm_any	n_tm_single	n_tm_multi	pct_tm	mean_len	acidic_pct	cys_pct	calc_score	calc_tags	bmin_flags	top_hit	top_hit_count	top_pfams
OG0019887	12	2	9	0	0.0	0	0	0	0.0	298.0	9.0	2.51	0	-	-	Mitochondrial ribosome-associated GTPase 1	1	MMR_HSR1 (4x: 50S ribosome-binding GTPase), Intron_maturas2 (4x: Type II intron maturase), CysS_C (1x: Cysteinyl-tRNA ligase anticodon binding domain)
OG0019917	12	2	3	1	8.3	3	2	1	25.0	512.0	11.9	1.81	0	-	-	cAMP-dependent protein kinase regulatory subunit	2	cNMP_binding (2x: Cyclic nucleotide-binding domain), Apolipoprotein (1x: Apolipoprotein A1/A4/E domain)
OG0020622	11	11	11	1	9.1	0	0	0	0.0	726.0	10.5	1.4	0	-	-	ATP-dependent RecD2 DNA helicase	11	AAA_30 (10x: AAA domain), AAA_19 (10x: AAA domain), UvrD_C_2 (10x: UvrD-like helicase C-terminal domain)
OG0020657	11	0	0	3	27.3	0	0	0	0.0	340.0	12.5	2.79	0	-	-	no annotation	0	
OG0020696	11	0	0	1	9.1	3	3	0	27.3	252.0	12.7	1.67	0	-	-	no annotation	0	
OG0020700	11	0	3	0	0.0	0	0	0	0.0	388.0	15.0	0.88	0	-	-	no annotation	0	PDZ_2 (3x: PDZ domain), PDZ (2x: PDZ domain), PDZ_6 (2x: PDZ domain)
OG0020706	11	0	0	0	0.0	5	1	4	45.5	266.0	5.4	3.53	0	-	-	no annotation	0	
OG0020728	11	0	0	0	0.0	0	0	0	0.0	300.0	13.6	0.78	0	-	-	no annotation	0	
OG0020729	11	0	0	0	0.0	0	0	0	0.0	283.0	12.9	2.25	0	-	-	no annotation	0	
OG0021406	10	10	10	0	0.0	0	0	0	0.0	230.0	9.9	0.28	0	-	-	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	9	adh_short (10x: short chain dehydrogenase), adh_short_C2 (10x: Enoyl-(Acyl carrier protein) reductase), KR (9x: KR domain)
OG0021517	10	2	9	0	0.0	0	0	0	0.0	262.0	9.4	2.55	0	-	-	F-box only protein 36	1	F-box-like (8x: F-box-like), F-box (4x: F-box domain)
OG0021520	10	0	0	0	0.0	1	0	1	10.0	588.0	7.6	1.22	0	-	-	no annotation	0	
OG0021523	10	6	6	0	0.0	0	0	0	0.0	325.0	11.6	1.41	0	-	-	Probable protein phosphatase 2C 35	3	PP2C (6x: Protein phosphatase 2C)
OG0021531	10	7	10	0	0.0	0	0	0	0.0	273.0	11.5	0.88	0	-	-	Probable periplasmic serine endoprotease DegP-like	3	PDZ_6 (10x: PDZ domain), PDZ_2 (7x: PDZ domain), PDZ (6x: PDZ domain)
OG0022381	9	9	9	0	0.0	4	4	0	44.4	514.0	11.4	1.8	0	-	-	NADPH--cytochrome P450 reductase 3	4	FAD_binding_1 (8x: FAD binding domain), NAD_binding_1 (8x: Oxidoreductase NAD-binding domain), Flavodoxin_1 (7x: Flavodoxin)
OG0022455	9	0	0	0	0.0	0	0	0	0.0	178.0	10.1	2.66	0	-	-	no annotation	0	
OG0022474	9	0	8	0	0.0	0	0	0	0.0	216.0	10.2	3.66	0	-	-	no annotation	0	F-box-like (8x: F-box-like), F-box (6x: F-box domain)
OG0022492	9	5	9	0	0.0	0	0	0	0.0	473.0	9.8	1.84	0	-	-	Myosin heavy chain kinase B	4	Beta-prop_TEP1_2nd (7x: TEP-1 second beta-propeller), WD40 (5x: WD domain, G-beta repeat), Beta-prop_WDR3_1st (5x: WDR3 first beta-propeller domain)
OG0022500	9	0	0	0	0.0	0	0	0	0.0	286.0	10.3	0.73	0	-	-	no annotation	0	
OG0022520	9	0	0	0	0.0	0	0	0	0.0	251.0	10.9	2.51	0	-	-	no annotation	0	
OG0022524	9	9	9	0	0.0	0	0	0	0.0	346.0	9.8	1.53	0	-	-	Uncharacterized protein slr1819	4	Pentapeptide (9x: Pentapeptide repeats (8 copies)), Pentapeptide_4 (9x: Pentapeptide repeat region), Pentapeptide_3 (9x: Pentapeptide repeats (9 copies))
OG0022528	9	0	0	0	0.0	0	0	0	0.0	321.0	7.8	2.06	0	-	-	no annotation	0	
OG0023496	8	8	8	0	0.0	0	0	0	0.0	412.0	11.0	2.91	0	-	-	Cyclin-G-associated kinase	4	Pkinase (8x: Protein kinase domain), PK_Tyr_Ser-Thr (8x: Protein tyrosine and serine/threonine kinase), Kdo (1x: Lipopolysaccharide kinase (Kdo/WaaP) family)
OG0023566	8	5	3	3	37.5	1	1	0	12.5	476.0	9.1	1.16	0	-	-	Protein SEY1 homolog	2	RHD3_GTPase (3x: Root hair defective 3 GTP-binding protein (RHD3) GTPase domain)
OG0023657	8	0	0	0	0.0	0	0	0	0.0	332.0	13.1	1.39	0	-	-	no annotation	0	
OG0023790	8	4	6	1	12.5	0	0	0	0.0	308.0	12.7	1.56	0	-	-	Red chlorophyll catabolite reductase (Fragment)	3	RCC_reductase (6x: Red chlorophyll catabolite reductase (RCC reductase))
OG0024979	7	0	0	0	0.0	0	0	0	0.0	493.0	11.2	1.87	0	-	-	no annotation	0	
OG0025016	7	0	0	0	0.0	0	0	0	0.0	217.0	9.7	3.8	0	-	-	no annotation	0	
OG0026865	6	6	5	0	0.0	0	0	0	0.0	493.0	11.5	3.39	0	-	-	Bifunctional arginine demethylase and lysyl-hydroxylase PSR	3	JmjC (5x: JmjC domain, hydroxylase), Cupin_8 (1x: Cupin-like domain)
