"orthogroup"	"sequence_count"	"species_count"	"final_function"	"final_calcification_relevance"	"final_rationale"	"evidence_strength_note"	"signalp_positive"	"deeptmhmm_tm_or_beta_count"	"blast_hit_queries"	"pfam_hit_queries"	"top_blast"	"top_pfam"	"deeptmhmm_summary"	"model_consensus_mean_score"	"model_disagreement_sd"
"OG0015153"	"20"	"9"	"Unresolved multi-pass membrane protein family"	"Watchlist"	"Strong membrane topology with poor homology support makes it an orphan membrane candidate."	"Piccolo/Ca-sensor interpretations are likely BLAST noise."	"1"	"17"	"3"	"0"	"Protein piccolo (2); Subtelomeric hrmA-associated cluster protein AFUA_5G14930 (1)"	""	"SP:3; SP+TM:3; TM:14"	"1.61"	"0.78"
"OG0016203"	"18"	"9"	"Mostly membrane protein family with one collagen/RCC1-like member"	"Watchlist"	"One sequence has collagen-repeat evidence and most are TM, but family-wide collagen support is weak."	"High collagen/matrix calls overstate evidence because PFAM collagen appears in 1/18 sequences."	"1"	"15"	"6"	"2"	"Hexamerin 110 (3); Collagen alpha-2(IV) chain (1); DNA-directed RNA polymerase II subunit RPB1 (1); Ultraviolet-B receptor UVR8 (1)"	"Collagen (1; Collagen; bestE=8E-14); RCC1 (1; Regulator; bestE=5.1E-15); RCC1_2 (1; Regulator; bestE=9.8E-07); WD40_RLD (1; RCC1-like; bestE=1.8E-14)"	"GLOB:2; SP:1; SP+TM:2; TM:13"	"2.72"	"1.44"
"OG0016211"	"18"	"9"	"SUR7/PalI-family multi-pass membrane organizer"	"Watchlist"	"All proteins are TM; membrane organization could matter for vesicle biology but no direct calcification marker is present."	""	"2"	"18"	"0"	"1"	""	"SUR7 (1; SUR7/PalI; bestE=1.2E-06)"	"TM:18"	"1.5"	"1"
"OG0017138"	"16"	"8"	"Arylsulfatase/sulfatase family"	"High"	"Strong family-wide Sulfatase PFAM and arylsulfatase BLAST support; sulfated polysaccharide remodeling is directly relevant to coccolith/matrix chemistry."	""	"2"	"0"	"16"	"14"	"Arylsulfatase B (14); Arylsulfatase I (1); Arylsulfatase J (1)"	"Sulfatase (14; Sulfatase; bestE=4.6E-48); Beta-prop_ATRN-LZTR1 (1; Attractin/LZTR1; bestE=1.5E-08); Beta-prop_Calicin (1; Calicin,; bestE=6.3E-14); Beta-prop_FBX42 (1; FBX42,; bestE=1.1E-05); Kelch_1 (1; Kelch; bestE=5.7E-41); Kelch_2 (1; Kelch; bestE=8.2E-19)"	"GLOB:13; SP:3"	"3.17"	"0.79"
"OG0017238"	"16"	"9"	"tRNA ligase"	"Low"	"Housekeeping RNA-processing enzyme."	""	"0"	"0"	"11"	"0"	"tRNA ligase 1 (11)"	""	"GLOB:16"	"0.5"	"0"
"OG0017305"	"16"	"8"	"Stf0-like sulfotransferase"	"Moderate"	"Sulfotransferase PFAM suggests sulfated matrix/glycan chemistry, but only 3/16 PFAM hits and SignalP support is weak by SignalP."	"High calls should be tempered by low coverage."	"1"	"0"	"0"	"3"	""	"Sulphotransf (3; Stf0; bestE=8.9E-06)"	"GLOB:7; SP:9"	"2.39"	"1.24"
"OG0017361"	"16"	"8"	"DJ-1/PfpI family stress or cysteine hydrolase"	"Low"	"Stress/metabolic protein family with no specific mineralization link."	""	"1"	"2"	"16"	"16"	"Isonitrile hydratase (14); HTH-type transcriptional regulator CdhR (1); HTH-type transcriptional regulator GbdR (1)"	"DJ-1_PfpI (16; DJ-1/PfpI; bestE=1.6E-38); HTH_18 (1; Helix-turn-helix; bestE=5.5E-25); HTH_AraC (1; Bacterial; bestE=9E-15)"	"GLOB:8; SP:6; SP+TM:1; TM:1"	"0.72"	"0.67"
"OG0017362"	"16"	"9"	"Red chlorophyll catabolite reductase-like protein"	"Low"	"Plastid/chlorophyll-catabolism-like evidence despite partial SignalP."	""	"7"	"2"	"3"	"5"	"Red chlorophyll catabolite reductase 1, chloroplastic (2); DNA-(apurinic or apyrimidinic site) endonuclease (1)"	"RCC_reductase (3; Red; bestE=6.6E-07); Abhydrolase_5 (1; Alpha/beta; bestE=8.3E-05); Exo_endo_phos (1; Endonuclease/Exonuclease/phosphatase; bestE=5.8E-13)"	"GLOB:9; SP:5; SP+TM:2"	"0.94"	"0.88"
"OG0017884"	"15"	"7"	"GNAT acetyltransferase"	"Low"	"General acetyltransferase with no calcification-specific evidence."	""	"0"	"4"	"2"	"7"	"Mycothiol acetyltransferase (2)"	"Acetyltransf_1 (7; Acetyltransferase; bestE=6.1E-08); Acetyltransf_7 (7; Acetyltransferase; bestE=9.5E-08); RNF34L-like_3rd (2; E3; bestE=4.3E-05)"	"GLOB:11; TM:4"	"0.72"	"0.67"
"OG0017903"	"15"	"8"	"Flavohemoprotein or oxidoreductase"	"Low"	"Redox/NO-detoxification-like function; no direct calcification evidence."	""	"0"	"0"	"15"	"12"	"Flavohemoprotein (15)"	"FAD_binding_6 (10; Oxidoreductase; bestE=1.2E-09); Globin (5; Globin; bestE=2.3E-11); NAD_binding_1 (2; Oxidoreductase; bestE=8.3E-10); NPF (1; Rabosyn-5; bestE=6.9E-05); Protoglobin (1; Protoglobin; bestE=1.2E-06)"	"GLOB:15"	"0.94"	"0.88"
"OG0017965"	"15"	"6"	"Kelch/beta-propeller protein with possible NANM-like domain"	"Low"	"Likely intracellular/regulatory scaffold; no secretion or matrix evidence."	""	"0"	"0"	"5"	"5"	"Kelch repeat-containing protein At3g27220 (3); Kelch-like ECH-associated protein 1 (1); Kelch-like protein 36 (1)"	"Beta-prop_ATRN-LZTR1 (5; Attractin/LZTR1; bestE=5.5E-09); Beta-prop_Calicin (5; Calicin,; bestE=5.9E-08); Kelch_1 (5; Kelch; bestE=3.9E-17); Kelch_2 (5; Kelch; bestE=3.8E-12); Kelch_FKB95 (5; FKB95,; bestE=4.2E-06); Kelch_KLHDC2_KLHL20_DRC7 (5; KLHDC2/KLHL20/DRC7; bestE=1.4E-13)"	"GLOB:14; SP:1"	"0.83"	"0.71"
"OG0018519"	"14"	"6"	"Uncharacterized conserved multi-pass membrane family"	"Watchlist"	"13/14 predicted TM and no homology; worth orphan membrane follow-up."	""	"0"	"13"	"0"	"0"	""	""	"SP:1; TM:13"	"1.39"	"0.78"
"OG0018986"	"13"	"7"	"FG-GAP/integrin-alpha-like cell-surface receptor with TM or 7TM features"	"High"	"Family-wide FG-GAP repeats plus secretion/TM topology support extracellular adhesion/Ca-binding receptor biology, one of the strongest non-enzymatic candidates."	"Some runs missed this because they did not connect FG-GAP/integrin-like evidence to matrix/Ca-binding biology."	"7"	"10"	"3"	"12"	"Metabotropic glutamate receptor-like protein E (2); Protein DEFECTIVE IN EXINE FORMATION 1 (1)"	"FG-GAP (12; FG-GAP; bestE=2.8E-22); FG-GAP_3 (12; FG-GAP-like; bestE=1.3E-62); TcdB_toxin_midN (5; Insecticide; bestE=1.1E-05); 7tm_3 (2; 7; bestE=6.5E-33); BBS2_Mid (1; Ciliary; bestE=1.5E-06); Itfg2 (1; Integrin-alpha; bestE=2.5E-05)"	"GLOB:1; SP:2; SP+TM:8; TM:2"	"2.56"	"1.36"
"OG0019067"	"13"	"8"	"LRR/NLR-like receptor protein"	"Low"	"Immune/receptor-like LRR evidence, not specific to calcification."	""	"0"	"5"	"12"	"12"	"Protein NLRC3 (6); NLR family CARD domain-containing protein 3 (4); Nucleotide-binding oligomerization domain-containing protein 1 (1); Nucleotide-binding oligomerization domain-containing protein 2 (1)"	"LRR_6 (12; Leucine; bestE=3.1E-21); LRR_TMOD-LMOD (7; TMOD/LMOD; bestE=5.6E-11); LRR_4 (1; Leucine; bestE=3E-05)"	"GLOB:8; SP+TM:3; TM:2"	"0.83"	"0.71"
"OG0019078"	"13"	"9"	"GST or elongation-factor-gamma-like protein"	"Low"	"Translation/redox housekeeping signal."	""	"0"	"0"	"13"	"12"	"Elongation factor 1-gamma 2 (6); Elongation factor 1-gamma (4); Probable elongation factor 1-gamma 1 (2); Elongation factor 1-gamma 1 (1)"	"GST_N (11; Glutathione; bestE=1.6E-13); GST_C (10; Glutathione; bestE=7.1E-15); GST_N_2 (10; Glutathione; bestE=6.2E-09); GST_N_3 (10; Glutathione; bestE=9E-08); GST_C_2 (9; Glutathione; bestE=4E-08); GST_C_3 (7; Glutathione; bestE=9.1E-07)"	"GLOB:13"	"0.5"	"0"
"OG0019174"	"13"	"7"	"Amidase or Glu-tRNA(Gln) amidotransferase-like enzyme"	"Low"	"Likely housekeeping amidase despite SignalP in some members."	""	"5"	"0"	"13"	"13"	"Glutamyl-tRNA(Gln) amidotransferase subunit A (7); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (5); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (1)"	"Amidase (13; Amidase; bestE=1.1E-31)"	"GLOB:1; SP:12"	"0.83"	"0.71"
"OG0019180"	"13"	"7"	"Uncharacterized soluble/orphan family"	"Low"	"No informative homology, domains, secretion, or TM signal."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:12; SP:1"	"0.83"	"0.5"
"OG0019790"	"12"	"9"	"HECT E3 ubiquitin ligase with ankyrin repeats"	"Low"	"Protein-turnover scaffold, not calcification-specific."	""	"0"	"0"	"12"	"12"	"E3 ubiquitin-protein ligase hecd-1 (7); E3 ubiquitin-protein ligase UPL3 (2); Ankycorbin (1); Putative ankyrin repeat protein FPV245 (1); Putative ankyrin repeat protein L88 (1)"	"HECT (9; HECT-domain; bestE=1.6E-46); Ank (4; Ankyrin; bestE=4.8E-10); Ank_2 (4; Ankyrin; bestE=7.4E-10); Ank_3 (4; Ankyrin; bestE=2.2E-07); Ank_4 (4; Ankyrin; bestE=1.2E-07); Ank_5 (3; Ankyrin; bestE=2.1E-06)"	"GLOB:12"	"0.94"	"0.88"
"OG0019817"	"12"	"8"	"Secreted or lumenal FAD/NAD monooxygenase-like protein"	"Watchlist"	"SignalP enrichment is notable, but homology points to redox/secondary metabolism rather than matrix formation."	"Secreted topology alone should not make this a calcification enzyme."	"8"	"1"	"10"	"10"	"Aurachin C monooxygenase/isomerase (5); 3-amino-4-hydroxybenzoate 2-monooxygenase (2); 3-amino-4-hydroxybenzoate 2-monooxygenase PtmB3 (1); Putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB1 (1); Zeaxanthin epoxidase, chloroplastic (1)"	"FAD_binding_3 (9; FAD; bestE=5.7E-18); NAD_binding_8 (9; NAD(P)-binding; bestE=2.7E-06)"	"GLOB:9; SP:2; SP+TM:1"	"1.39"	"1.05"
"OG0019873"	"12"	"9"	"Aminotransferase class I/II"	"Low"	"Generic metabolic enzyme."	""	"0"	"0"	"12"	"10"	"1-aminocyclopropane-1-carboxylate synthase 11 (7); 1-aminocyclopropane-1-carboxylate synthase 4 (2); 1-aminocyclopropane-1-carboxylate synthase 8 (2); 1-aminocyclopropane-1-carboxylate synthase 3 (1)"	"Aminotran_1_2 (10; Aminotransferase; bestE=6.2E-48)"	"GLOB:12"	"0.5"	"0"
"OG0019887"	"12"	"8"	"Ribosome-associated GTPase or intron maturase-like protein"	"Low"	"Organellar/ribosome-associated housekeeping evidence."	""	"0"	"0"	"2"	"9"	"Mitochondrial GTPase 1 (1); Mitochondrial ribosome-associated GTPase 1 (1)"	"Intron_maturas2 (4; Type; bestE=2.7E-08); MMR_HSR1 (4; 50S; bestE=1.4E-09); CysS_C (1; Cysteinyl-tRNA; bestE=7.9E-05)"	"GLOB:11; SP:1"	"0.5"	"0"
"OG0019917"	"12"	"6"	"Cyclic-nucleotide-binding or PKA-regulatory-like protein"	"Watchlist"	"cAMP signalling can regulate physiology, but evidence is indirect and not calcification-specific."	""	"1"	"3"	"2"	"3"	"cAMP-dependent protein kinase regulatory subunit (2)"	"cNMP_binding (2; Cyclic; bestE=3.4E-16); Apolipoprotein (1; Apolipoprotein; bestE=2.6E-06)"	"GLOB:2; SP:7; SP+TM:2; TM:1"	"1.28"	"0.97"
"OG0020622"	"11"	"8"	"RecD2/UvrD-like DNA helicase"	"Low"	"DNA repair helicase."	""	"1"	"0"	"11"	"11"	"ATP-dependent RecD2 DNA helicase (11)"	"AAA_19 (10; AAA; bestE=7.5E-39); AAA_30 (10; AAA; bestE=2.7E-40); SH3_13 (10; ATP-dependent; bestE=4.6E-11); UvrD_C_2 (10; UvrD-like; bestE=1E-18); Viral_helicase1 (10; Viral; bestE=2.6E-12); HHH_RecD2 (9; ATP-dependent; bestE=1.7E-16)"	"GLOB:11"	"0.5"	"0"
"OG0020657"	"11"	"8"	"Uncharacterized partially secreted family"	"Watchlist"	"No homology/domain support, but DeepTMHMM and SignalP suggest secretion in a subset."	""	"3"	"0"	"0"	"0"	""	""	"GLOB:4; SP:7"	"1.17"	"0.71"
"OG0020696"	"11"	"8"	"Uncharacterized weak membrane/secreted family"	"Watchlist"	"No homology/domain support and only partial topology signal."	""	"1"	"3"	"0"	"0"	""	""	"GLOB:7; SP:1; TM:3"	"1.39"	"0.78"
"OG0020700"	"11"	"8"	"PDZ-domain scaffold protein"	"Low"	"Generic scaffold with no secretion or mineralization evidence."	""	"0"	"0"	"0"	"3"	""	"PDZ_2 (3; PDZ; bestE=1.9E-06); PDZ (2; PDZ; bestE=4.4E-07); PDZ_6 (2; PDZ; bestE=1.8E-05)"	"GLOB:11"	"0.72"	"0.67"
"OG0020703"	"11"	"8"	"Heparan-sulfate or sulfoglycan sulfotransferase-like enzyme"	"High"	"Sulfotransferase BLAST/PFAM plus secretion support direct relevance to sulfated acidic matrix/polysaccharide chemistry."	"Evidence is biologically strong but present in only a subset; validate orthology/fragmentation."	"4"	"0"	"2"	"1"	"Heparan-sulfate 6-O-sulfotransferase 1 (2)"	"Sulfotransfer_1 (1; Sulfotransferase; bestE=1.4E-06); Sulfotransfer_3 (1; Sulfotransferase; bestE=1.9E-13)"	"GLOB:5; SP:6"	"3.33"	"0.79"
"OG0020706"	"11"	"9"	"Uncharacterized multi-pass membrane family"	"Watchlist"	"No homology/domain support but 5/11 DeepTMHMM TM/SP+TM proteins."	""	"0"	"5"	"0"	"0"	""	""	"GLOB:5; SP:1; SP+TM:1; TM:4"	"1.17"	"0.71"
"OG0020728"	"11"	"8"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:11"	"0.83"	"0.5"
"OG0020729"	"11"	"7"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:11"	"0.83"	"0.5"
"OG0021347"	"10"	"8"	"Secreted trypsin-family serine protease"	"Moderate"	"Strong trypsin PFAM plus secretion; matrix remodeling is plausible but indirect."	"High direct calls overstate a general extracellular protease."	"5"	"0"	"10"	"10"	"Trypsin-1 (3); Snake venom serine protease HS112 (2); Brachyurin (1); Chymotrypsin-like elastase family member 2A (1); Complement factor D (1)"	"Trypsin (10; Trypsin; bestE=8.9E-46); Trypsin_2 (3; Trypsin-like; bestE=2.4E-05); DUF1986 (1; Domain; bestE=1.1E-05)"	"SP:10"	"2.44"	"0.88"
"OG0021406"	"10"	"8"	"Short-chain dehydrogenase or sugar-metabolism enzyme"	"Low"	"Metabolic enzyme with no calcification-specific evidence."	""	"0"	"0"	"10"	"10"	"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (9); Gluconate 5-dehydrogenase (1)"	"adh_short (10; short; bestE=2.9E-57); adh_short_C2 (10; Enoyl-(Acyl; bestE=6.6E-56); KR (9; KR; bestE=4.8E-14); SDR (5; SDR-like; bestE=5E-10); Epimerase (4; NAD; bestE=4.8E-07); THF_DHG_CYH_C (1; Tetrahydrofolate; bestE=7.3E-05)"	"GLOB:10"	"0.5"	"0"
"OG0021517"	"10"	"8"	"F-box protein"	"Low"	"Protein-turnover adaptor."	""	"0"	"0"	"2"	"9"	"F-box only protein 3 (1); F-box only protein 36 (1)"	"F-box-like (8; F-box-like; bestE=2.5E-07); F-box (4; F-box; bestE=6.5E-09)"	"GLOB:10"	"0.5"	"0"
"OG0021520"	"10"	"8"	"Mostly uncharacterized soluble family with one beta/TM outlier"	"Low"	"Topology support is not family-wide."	""	"0"	"1"	"0"	"0"	""	""	"BETA:1; GLOB:9"	"0.94"	"0.53"
"OG0021523"	"10"	"7"	"PP2C protein phosphatase"	"Watchlist"	"Ca/Mg-dependent phosphatase chemistry is peripheral; no direct matrix/transport evidence."	""	"0"	"0"	"6"	"6"	"Probable protein phosphatase 2C 35 (3); Probable protein phosphatase 2C 61 (2); Probable protein phosphatase 2C 64 (1)"	"PP2C (6; Protein; bestE=3.2E-39)"	"GLOB:10"	"1.5"	"1"
"OG0021531"	"10"	"6"	"DegP/HtrA/PDZ protease-like protein"	"Low"	"Quality-control protease-like evidence with no SignalP support and no direct calcification link."	""	"0"	"0"	"7"	"10"	"Probable periplasmic serine endoprotease DegP-like (3); Periplasmic serine endoprotease DegP (1); Pro-apoptotic serine protease NMA111 (1); Putative serine protease HhoB (1); Tight junction protein ZO-3 (1)"	"PDZ_6 (10; PDZ; bestE=3.4E-32); PDZ_2 (7; PDZ; bestE=1.5E-21); PDZ (6; PDZ; bestE=4.2E-14); GRASP55_65 (2; GRASP55/65; bestE=7E-09); PDZ_Tricorn (2; Tricorn; bestE=2.4E-08); Pept_S41_N_bact (1; Bacteroidetes,; bestE=8.7E-05)"	"GLOB:9; SP:1"	"1.28"	"0.97"
"OG0022355"	"9"	"8"	"Secreted/membrane DUF2237 protein family"	"Watchlist"	"Strong SP/TM topology and DUF support but no known calcification function."	""	"6"	"6"	"0"	"7"	""	"DUF2237 (7; Uncharacterized; bestE=2.1E-18)"	"GLOB:1; SP:2; SP+TM:6"	"1.5"	"0.87"
"OG0022381"	"9"	"8"	"NADPH-cytochrome P450 reductase-like redox enzyme"	"Low"	"ER/redox metabolism, not calcification-specific."	""	"0"	"4"	"9"	"9"	"NADPH--cytochrome P450 reductase 3 (4); NADPH--cytochrome P450 reductase (3); NADPH--cytochrome P450 reductase 2 (2)"	"FAD_binding_1 (8; FAD; bestE=1.5E-42); NAD_binding_1 (8; Oxidoreductase; bestE=2.4E-16); Flavodoxin_1 (7; Flavodoxin; bestE=4.9E-33)"	"GLOB:5; SP+TM:1; TM:3"	"0.72"	"0.67"
