orthogroup	predicted_function	function_basis	calcification_relevance	calcification_rationale	annotation_confidence
OG0022355	Secreted or membrane-tethered DUF2237 protein	DUF2237 PFAM support plus strong signal peptide and signal-anchor enrichment	possible	Cell-surface or secreted proteins are plausible matrix organizers but this family is uncharacterized	low
OG0022381	Cytochrome P450 reductase	Cytochrome P450 reductase BLAST hits and FAD NAD flavodoxin PFAM domains	possible	Lipid or redox metabolism may indirectly support biomineralization membranes	high
OG0022455	Uncharacterized small secreted protein	Small mostly globular proteins with a minority of signal peptides and no domain support	possible	Small secreted proteins are plausible matrix peptides but evidence remains limited	low
OG0022473	Uncharacterized secreted or membrane protein	Mixed signal peptide and transmembrane predictions without domain support	possible	Surface-localized proteins could contribute to matrix assembly or signaling	low
OG0022474	F-box protein	F-box PFAM matches without other informative features	low	Ubiquitin-pathway adaptor with no direct calcification evidence	high
OG0022492	PDZ and WD-repeat scaffold protein	PDZ and beta-propeller PFAM support with kinase or scaffold-like BLAST hits	possible	Scaffolding proteins could organize signaling or trafficking complexes needed for secretion	medium
OG0022500	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022520	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022524	Pentapeptide-repeat-rich protein	Pentapeptide-repeat PFAM support with repetitive low-information BLAST hits	low	It could be structural but there is no specific calcification evidence	low
OG0022528	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0023496	Serine or threonine protein kinase	Kinase BLAST hits and kinase PFAM support	possible	Signaling kinases can regulate secretion cytoskeleton and ion-homeostasis programs tied to calcification	high
OG0023566	Sey1 or RHD3-like membrane fusion GTPase	Sey1 and RHD3-like BLAST hits with the expected GTPase PFAM domain	possible	ER network maintenance and secretory trafficking are plausible indirect control points for matrix export	medium
OG0023594	GT8-family glycosyltransferase with ankyrin-repeat scaffold features	GT8 PFAM support plus glycosyltransferase BLAST matches	high	Likely contributes to synthesis or remodeling of matrix polysaccharides that influence mineral nucleation	high
OG0023657	Uncharacterized small soluble protein	No domain or homology signal in a compact mostly soluble family	low	Insufficient evidence for biomineral relevance	low
OG0023790	RCC-reductase-like oxidoreductase	RCC-reductase PFAM support and a few signal peptides with weak oxidoreductase BLAST calls	possible	Redox chemistry could indirectly affect extracellular matrix maturation but the evidence is weak	low
OG0024846	MUCI70-like glycosyltransferase	MUCI70-like BLAST support and glycosyltransferase-like PFAM matches	high	Likely builds extracellular glycans or mucilage-like polymers that can shape mineralization matrices	medium
OG0024979	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0025015	Uncharacterized multipass membrane protein	Universal multispan membrane topology without informative homology	possible	It could be a transporter or membrane organizer relevant to ion or pH control but the function is unknown	low
OG0025016	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0025059	Small secreted protein family	Strong signal-peptide enrichment with no informative homology or PFAM support	possible	Secreted peptides are plausible organic-matrix components or extracellular regulators	low
OG0026865	JMJD6-like hydroxylase or demethylase	JMJD6-like BLAST hits and JmjC-domain PFAM support	possible	Protein hydroxylation or gene-regulatory activity could indirectly influence matrix protein maturation or expression	high
